,A,B,C,D,E,G,H,J,K
4.0,9638,11016,10587,10613,10987,10271,10959,10866,10930
10.0,9973,11354,11231,11304,11520,10780,11282,11192,11464
18.0,10411,11340,11308,11328,11860,10065,11781,11352,11802
