,1,2,3,4,5,6,7,8,C2,C3,C5,C7
7.0,10026,9378,9378,9306,9262,9262,8248,9320,9378,9323,9283,9241
12.0,10321,9625,9625,9551,9506,9506,8412,9566,9625,9566,9518,9484
17.0,10636,9864,9864,9789,9743,9743,8585,9804,9864,9803,9755,9721
