,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
6.0,5981,,,6598,8645,6624,6543,8645,8645,6394,6510,,,6542,7899,9711,9751,6405,,,6574,,6993,9751,9711,6769,6655,6572
16.0,6647,7048,6822,6857,7373,,6974,7471,7213,6576,6764,6705,,6796,7383,10186,10228,6879,6763,6761,6829,,8307,10228,10186,7049,6909,6835
27.0,6912,,6969,7053,9300,7144,7233,9300,7027,6881,6974,,7002,7007,7664,10775,10797,7069,,,,6915,7128,10797,10775,7590,7117,7048
