,1,2,3,4,5,6,7,8,C2,C3,C5,C7
7.0,350,325,325,350,365,365,365,345,325,325,365,365
12.0,350,325,325,350,365,365,365,345,325,325,365,365
17.0,350,325,325,350,365,365,365,345,325,325,365,365
