,1,2,3,4,5,6,7,8,B1,B2,B4,B7
4.0,510,490,490,510,535,495,495,535,510,490,510,495
10.0,510,490,490,510,535,495,495,535,510,490,510,495
16.0,510,490,490,510,535,495,495,535,510,490,510,495
