,A,B,C,D,E,F,G,H,I,J
7.0,16566,16255,18764,18708,18772,17673,18823,17556,16700,15659
17.0,17448,17753,19985,19489,18875,19105,19024,18807,18502,16730
26.0,17631,16122,20875,17975,17360,18606,18025,18500,17414,16968
