,10,11,4,5,6,7,8,9,B3
2.0,3307469,3351065,6645100,3912650,4087936,5598916,3307469,3524220,3662802
4.0,3332884,3384645,6711600,3944010,4130664,3662836,3332884,3551940,3678246
6.0,3357908,3160900,6778100,3975370,4171212,3691612,3357908,3579240,3707418
