,A,B,C,D,E,F,G,H,J,K
5.0,13300,11031,13221,12896,13998,12424,13934,13362,13310,13379
12.0,13721,11762,12838,12698,13727,13060,14695,11767,13694,13702
18.0,13136,11879,12777,12576,13398,13417,15131,12186,13081,13506
