,10,11,12,13,15,2,20A,20C,21A,21C,22,23,24,3,6,7,9
6.0,2926015,2778053,3256623,2844415,2778053,2826783,,,,,2787799,2778053,2432685,2778053,2743499,2778053,3014760
16.0,3061130,3040309,3564072,3138061,3040309,3054928,,,,,3040309,2996009,2662428,3040309,2913611,3040309,3284420
28.0,3212636,3225040,3779658,3327539,3225040,3239659,,,,,3225926,3225040,2819400,3225040,3152388,3225040,3485695
