,A,B,C,D,E,F,G,H,J,K
6.0,8732,8849,8849,8848,9552,8847,8846,9018,9692,10546
16.0,10313,9686,9686,10325,9815,9683,9682,9520,9788,9613
25.0,10708,10083,10083,10794,10190,10080,10079,9944,10182,11492
