,1,10,12,13,14,15,17,18,2,20,21,22,23,24,3,4,5,6,7,8,9
8.0,6443,6328,6147,6319,6328,6328,6239,6230,6328,6231,6155,6328,6328,6443,6328,6231,6231,6332,6425,6422,6239
19.0,6810,6688,6492,6679,6688,6688,6595,6585,6688,6586,6511,6688,6688,6810,6688,6586,6586,6688,6791,6812,6595
29.0,7141,7015,6808,7006,7015,7015,6916,6908,7015,6907,6824,7015,7015,7141,7015,6907,7656,7015,7355,7188,6916
