,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T
10.0,430,440,390,315,380,385,390,370,315,390,410,410,315,440,440,440,440,315
16.0,430,430,390,315,370,385,390,370,315,390,410,410,315,440,440,410,440,315
20.0,440,430,385,315,370,385,390,370,315,390,410,410,315,440,440,410,440,315
