,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T
10.0,10895,10695,11478,11716,9855,11499,11321,11566,11937,10970,11078,9861,11901,10763,9557,10763,10763,11593
16.0,11351,11066,11506,12067,10820,11527,11531,11733,12106,11446,11228,10234,12270,11096,10798,11217,11096,12217
20.0,11406,11282,11896,12283,11062,11896,11881,11959,12334,11684,11623,10442,12507,11313,10965,11634,11313,12453
