,1,10,12,13,14,15,17,18,2,20,21,22,23,24,3,4,5,6,7,8,9
8.0,2454783,2803304,3251763,2824593,2803304,2803304,3025915,2759890,2803304,3046959,3009795,2803304,2803304,2454783,2803304,3046959,3046959,2792412,2846275,3114670,3025915
19.0,2594610,2962784,3447252,2985513,2962784,2962784,3198575,2917155,2962784,3220554,3183879,2962784,2962784,2594610,2962784,3220554,3220554,2962784,3008413,3303820,3198575
29.0,2720721,3107645,3615048,3131682,3107645,3107645,3354260,3060244,3107645,3377523,3336936,3107645,3107645,2720721,3107645,3377523,3743784,3107645,3258265,3486180,3354260
