,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,10250340,11919,860
17.0/F中層A,17.0,中層,A,10823960,12586,860
28.0/F高層A,28.0,高層,A,11230740,13059,860
6.0/F低層B,6.0,低層,B,5875600,9925,592
17.0/F中層B,17.0,中層,B,6007024,10147,592
28.0/F高層B,28.0,高層,B,6316048,10669,592
6.0/F低層C,6.0,低層,C,7300915,10415,701
17.0/F中層C,17.0,中層,C,7408869,10569,701
28.0/F高層C,28.0,高層,C,7868725,11225,701
6.0/F低層D,6.0,低層,D,7063977,10077,701
17.0/F中層D,17.0,中層,D,7453733,10633,701
28.0/F高層D,28.0,高層,D,7748854,11054,701
6.0/F低層E,6.0,低層,E,5956640,10096,590
17.0/F中層E,17.0,中層,E,6312410,10699,590
28.0/F高層E,28.0,高層,E,6769070,11473,590
6.0/F低層F,6.0,低層,F,5980405,10085,593
17.0/F中層F,17.0,中層,F,6308927,10639,593
28.0/F高層F,28.0,高層,F,6444131,10867,593
6.0/F低層G,6.0,低層,G,6349580,10762,590
17.0/F中層G,17.0,中層,G,6704170,11363,590
28.0/F高層G,28.0,高層,G,7049320,11948,590
6.0/F低層H,6.0,低層,H,7170100,10243,700
17.0/F中層H,17.0,中層,H,6515600,9308,700
28.0/F高層H,28.0,高層,H,7858900,11227,700
6.0/F低層J,6.0,低層,J,7170100,10243,700
17.0/F中層J,17.0,中層,J,7551600,10788,700
28.0/F高層J,28.0,高層,J,7858900,11227,700
6.0/F低層K,6.0,低層,K,5873824,9922,592
17.0/F中層K,17.0,中層,K,6089904,10287,592
28.0/F高層K,28.0,高層,K,6406624,10822,592
