,1,2,3,4,5,6,7
4.0,3915912,3915912,3915912,3915912,3906084,3915912,3925740
10.0,4033302,4033302,4033302,4033302,4023474,4033302,4042584
15.0,4128852,4128852,4128852,4128852,4119570,4128852,4138680
