,A,B,C,D,E,F,G,H,J,K
3.0,5309600,5076925,4892340,5372400,5162055,5223470,5372400,4549300,4814285,5300800
6.0,5421200,5153975,5103055,5728000,5239800,5305120,5728000,5243420,4894685,5728000
10.0,5534400,5259835,5205565,5845600,5344170,5422980,5845600,5250455,4991500,5845600
