,A,B,C,D,E,F,G,H,I,J,K,L
5.0,280,260,260,260,260,260,270,280,262,262,255,270
12.0,280,260,260,260,260,260,270,280,262,262,255,270
19.0,280,260,260,260,260,260,270,280,262,262,255,270
