,B,C,D,E,F,G,H,J,K
6.0,6886,6884,7620,8683,8523,6884,6884,8523,8279
15.0,7201,7200,7868,9099,8932,7200,7200,8932,8690
24.0,7516,7515,8170,9516,9342,7515,7515,9342,9125
