,A,B,C,D,E,F,G,H,J,K
6.0,6151672,5736336,7497476,7436106,5829264,8563941,5829264,6961296,7153158,5842508
16.0,6248688,6031992,7854714,7590500,6089832,8981805,6089832,7310136,7038170,5961888
25.0,6519368,6364224,8167378,7684816,6250608,9444332,6250608,7620862,7628614,6335268
