,A,B,C,D,E,F,G,H,J,K
6.0,9608,9397,9377,9377,9622,8874,9273,9377,9391,8463
16.0,10044,9762,8983,8983,10065,9178,8867,8983,9829,8872
26.0,9355,10149,10023,10023,10692,9499,9390,10023,10090,9377
