,B,C,D,E,F,G,H,J,K
7.0,8434,8434,8397,8759,8566,8434,8434,8566,8759
17.0,8864,8864,8824,9205,9002,8864,8864,9002,9205
26.0,9250,9250,9209,9606,9394,9250,9250,9394,9606
