,A,B,C,D,E,F,G,H,J,K
3.0,13274,15155,14604,13431,14541,14714,13431,13580,14371,13252
6.0,13553,15385,15233,14320,14760,14944,14320,15652,14611,14320
10.0,13836,15701,15539,14614,15054,15276,14614,15673,14900,14614
