,A,B,C,D,E,F,G,H,J,K
6.0,6769520,6759858,6769520,6721150,3685050,5659896,6769520,4777440,5650617,5148295
15.0,7097488,7087863,7097488,7047522,3852278,5934324,7097488,5008912,5924478,5397844
24.0,7426048,7415868,7426048,7373894,4019075,6209236,7426048,5240976,6198822,5647824
