,A,B,C,D,E,F,G,H,J,K
6.0,10250340,5875600,7300915,7063977,5956640,5980405,6349580,7170100,7170100,5873824
17.0,10823960,6007024,7408869,7453733,6312410,6308927,6704170,6515600,7551600,6089904
28.0,11230740,6316048,7868725,7748854,6769070,6444131,7049320,7858900,7858900,6406624
