,A,B,C,E,F,G,H,J,K
6.0,4839008,4687221,4693968,3554026,4001228,4705808,4598064,3993927,3592385
15.0,4913008,4872795,4879856,3694532,4154172,4898208,4778032,4079418,3684619
25.0,5021344,4967946,4975168,3781163,4192408,4958000,4970432,4045125,3779439
