,A,B,C,D,E,F,G,H,I,J,K,L
5.0,13847,14002,14134,13174,13823,14446,13517,12880,13620,13595,14023,13185
12.0,14585,14050,14981,13542,14491,15024,14069,13246,14144,14145,15055,13603
19.0,12485,14130,14914,14721,14984,15945,14546,13635,14939,14123,15515,14125
