,A,B,C,D,E,F,G,H,J,K
6.0,11477,11292,11606,11511,11566,11313,11566,10776,11073,11501
16.0,11658,11874,12159,11750,12083,11865,12083,11316,10895,11736
25.0,12163,12528,12643,11896,12402,12476,12402,11797,11809,12471
