,A,B,C,E,F,G,H,J,K
6.0,8174,7931,7929,8246,8267,7949,7767,8269,8335
15.0,8299,8245,8243,8572,8583,8274,8071,8446,8549
25.0,8482,8406,8404,8773,8662,8375,8396,8375,8769
