,1,2,3,4,5,6,7,8
4.0,16486,16625,15655,16614,16621,16476,16476,16691
10.0,16971,17009,16124,17104,17113,16960,16960,17176
17.0,17551,16814,16647,17685,17695,17541,17419,17757
