,A,A & B,B,C,D,E,F
4.0,4021605,7295595,4167900,3929210,3795230,4146780,4031685
10.0,4144455,7517475,4289340,4049270,3925150,4273500,4154850
18.0,4304475,7796115,4458960,4204420,4088130,4435860,4314555
