,A,B,C,D,E,F,G,H,I,J,K,L
5.0,3877160,3640520,3674840,3425240,3593980,3755960,3649590,3606400,3568440,3561890,3575865,3559950
12.0,4083800,3653000,3895060,3520920,3767660,3906240,3798630,3708880,3705728,3705990,3839025,3672810
19.0,3495800,3673800,3877640,3827460,3895840,4145700,3927420,3817800,3914018,3700226,3956325,3813750
