,1,2,3,4,5,6,7,8
4.0,15111648,11309760,9636102,8449338,8457994,9597693,9926436,13171728
10.0,15571968,11650496,9977877,8738232,8746347,9912777,10275837,15506208
17.0,16122708,12041920,10338531,9054176,9770268,10246089,10646454,16922864
