,B,C,D,E,F,G,H,J,K
6.0,4069626,4075328,4450080,3742373,4125132,4075328,4075328,4125132,3568249
15.0,4255791,4262400,4594912,3921669,4323088,4262400,4262400,4323088,3745390
24.0,4441956,4448880,4771280,4101396,4521528,4448880,4448880,4521528,3932875
