,A,AB,B,C,D,E,F,G
17.0,17899,24555,19993,20322,19276,17272,17238,17491
36.0,19964,26313,19007,21333,20178,19073,19118,19461
53.0,17946,26522,20419,21600,22804,20690,18619,20562
