,B,C,D,E,F,G,H,J,K
7.0,4756776,4756776,4870260,3731334,4120246,4756776,4756776,4120246,3731334
17.0,4999296,4999296,5117920,3921330,4329962,4999296,4999296,4329962,3921330
26.0,5217000,5217000,5341220,4092156,4518514,5217000,5217000,4518514,4092156
