,A,B,C,D,E,F,G,H,J,K
4.0,4708440,4063480,4610520,4326425,4098895,4834440,4066890,4596840,4215100,4019595
8.0,4565880,4131990,4691880,4089135,4178195,4784760,4087350,4564440,4298975,4089440
13.0,4663440,4223130,4689720,4179415,4267255,4885200,4178800,4662360,4520405,4180635
