,A,AB,B,C,D,E,F,G
17.0,13925422,38256690,16974057,18330444,17425504,10190480,9239568,9235248
36.0,14813288,40995654,15623754,18367713,17595216,11253070,9539882,9788883
53.0,13280040,41321276,16743580,18943200,19702656,12145030,9346738,10198752
