,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,29693296.000000004,27596.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",29693296.000000004,27596.0,1076.0,,0.08645669291338587,0.08645669291338587
2020-11-15,27330400.000000004,25400.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",27330400.000000004,25400.0,1076.0,,-0.19090243047813193,-0.19090243047813205
2020-10-15,33778868.0,31393.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",33778868.0,31393.0,1076.0,,0.11925984027381631,0.11925984027381631
2020-9-15,30179648.0,28048.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",30179648.0,28048.0,1076.0,,0.03498154981549795,0.03498154981549817
2020-8-15,29159600.000000004,27100.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",29159600.000000004,27100.0,1076.0,,-0.13249463811261553,-0.13249463811261564
2020-7-15,33613164.0,31239.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",33613164.0,31239.0,1076.0,,-0.07587859424920129,-0.07587859424920129
2020-6-15,36373104.0,33804.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",36373104.0,33804.0,1076.0,,0.160253990046336,0.160253990046336
2020-5-15,31349260.0,29135.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",31349260.0,29135.0,1076.0,,-0.1091576211588442,-0.1091576211588442
2020-4-15,35190580.0,32705.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",35190580.0,32705.0,1076.0,,0.11404435058078133,0.11404435058078133
2020-3-15,31588132.0,29357.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",31588132.0,29357.0,1076.0,,-0.12931162321677492,-0.12931162321677492
2020-2-15,36279492.0,33717.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",36279492.0,33717.0,1076.0,,0.05040655472133082,0.05040655472133082
2020-1-15,34538524.0,32099.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",34538524.0,32099.0,1076.0,,-0.005576380928777214,-0.005576380928777214
2019-12-15,34732204.0,32279.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",34732204.0,32279.0,1076.0,,0.2593242821473156,0.25932428214731584
2019-11-15,27580032.000000004,25632.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",27580032.000000004,25632.0,1076.0,,-0.009276437847866248,-0.00927643784786647
2019-10-15,27838272.0,25872.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",27838272.0,25872.0,1076.0,,0.06570004531037599,0.06570004531037599
2019-9-15,26122052.0,24277.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",26122052.0,24277.0,1076.0,,0.9692569759896172,0.9692569759896172
2019-8-15,13264928.0,12328.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",13264928.0,12328.0,1076.0,,-0.5555875991348234,-0.5555875991348234
2019-7-15,29848240.0,27740.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",29848240.0,27740.0,1076.0,,-0.14157511991335292,-0.14157511991335292
2019-6-15,34770940.0,32315.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",34770940.0,32315.0,1076.0,,1.6214813012087288,1.6214813012087288
2019-5-15,13263852.0,12327.0,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",13263852.0,12327.0,1076.0,,,
2019-4-15,,,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",,,1076.0,,,
2019-3-15,,,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",,,1076.0,,,
2019-2-15,,,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",,,1076.0,,,
2019-1-15,,,"133 PORTOFINO(Block 2),HONG KIN RD|133 PORTOFINO2座,康健路",,,1076.0,,,
