,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,nfa_avg,lumpSum_change,npsf_change
2020-12-15,38394094.0,31013.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",38394094.0,31013.0,1238.0,,0.08642191550479916,0.08642191550479916
2020-11-15,35339948.0,28546.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",35339948.0,28546.0,1238.0,,-0.19114813555479993,-0.19114813555479993
2020-10-15,43691496.0,35292.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",43691496.0,35292.0,1238.0,,0.11892457436352677,0.11892457436352677
2020-9-15,39047758.0,31541.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",39047758.0,31541.0,1238.0,,0.03467392730612784,0.03467392730612784
2020-8-15,37739192.0,30484.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",37739192.0,30484.0,1238.0,,-0.13279472007282656,-0.13279472007282656
2020-7-15,43518176.0,35152.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",43518176.0,35152.0,1238.0,,-0.07616294349540076,-0.07616294349540076
2020-6-15,47105900.0,38050.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",47105900.0,38050.0,1238.0,,0.16006097560975618,0.16006097560975618
2020-5-15,40606400.0,32800.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",40606400.0,32800.0,1238.0,,-0.10917979359043994,-0.10917979359043994
2020-4-15,45583160.0,36820.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",45583160.0,36820.0,1238.0,,0.11403588393694597,0.11403588393694597
2020-3-15,40917138.0,33051.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",40917138.0,33051.0,1238.0,,-0.12934327335950058,-0.12934327335950058
2020-2-15,46995718.0,37961.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",46995718.0,37961.0,1238.0,,0.050387382401770875,0.050387382401770875
2020-1-15,44741320.0,36140.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",44741320.0,36140.0,1238.0,,-0.005585669867649856,-0.005585669867649856
2019-12-15,44992634.0,36343.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",44992634.0,36343.0,1238.0,,0.25932984510897805,0.25932984510897805
2019-11-15,35727442.0,28859.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",35727442.0,28859.0,1238.0,,-0.009303123927222767,-0.009303123927222767
2019-10-15,36062940.0,29130.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",36062940.0,29130.0,1238.0,,0.06562774363476742,0.06562774363476742
2019-9-15,33841968.0,27336.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",33841968.0,27336.0,1238.0,,0.9693105684028529,0.9693105684028529
2019-8-15,17184678.0,13881.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",17184678.0,13881.0,1238.0,,-0.5556089127929312,-0.5556089127929312
2019-7-15,38670168.0,31236.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",38670168.0,31236.0,1238.0,,-0.14160872791228118,-0.14160872791228118
2019-6-15,45049582.0,36389.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",45049582.0,36389.0,1238.0,,1.6213081688517503,1.6213081688517503
2019-5-15,17185916.0,13882.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",17185916.0,13882.0,1238.0,,-0.6236512497966709,-0.6236512497966709
2019-4-15,45664868.0,36886.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",45664868.0,36886.0,1238.0,,-0.0719102254428341,-0.0719102254428341
2019-3-15,49203072.0,39744.0,"133 PORTOFINO(Block 3),HONG KIN RD|133 PORTOFINO3座,康健路",49203072.0,39744.0,1238.0,,0.32171599600931167,0.32171599600931167
