,lumpSum_avg,npsf_avg,final_address,lumpSum_G1,npsf_G1,nfa_G1,lumpSum_G2,npsf_G2,nfa_G2,lumpSum_G3,npsf_G3,nfa_G3,lumpSum_G5,npsf_G5,nfa_G5,lumpSum_P1,npsf_P1,nfa_P1,lumpSum_P2,npsf_P2,nfa_P2,lumpSum_P5,npsf_P5,nfa_P5,nfa_avg,lumpSum_change,npsf_change
2020-12-15,99051877.42857143,31508.571428571428,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",100632378.0,31262.0,3219.0,92071391.99999999,29008.0,3174.0,103024185.0,32185.0,3201.0,102521517.0,32619.0,3143.0,106821588.0,31679.0,3372.0,94687386.0,32141.0,2946.0,93604696.0,31666.0,2956.0,,0.08660515211147124,0.08660416492183987
2020-11-15,91157194.71428572,28997.285714285714,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",92604192.0,28768.0,3219.0,84745800.0,26700.0,3174.0,94816821.0,29621.0,3201.0,94346574.0,30018.0,3143.0,98300544.0,29152.0,3372.0,87142680.0,29580.0,2946.0,86143752.0,29142.0,2956.0,,-0.19070637637517485,-0.1907110448380075
2020-10-15,112637974.71428572,35830.57142857143,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",114393603.0,35537.0,3219.0,104719782.0,32993.0,3174.0,117179007.0,36607.0,3201.0,116583299.0,37093.0,3143.0,121435836.0,36013.0,3372.0,107699868.0,36558.0,2946.0,106454428.0,36013.0,2956.0,,0.10894868495931465,0.1094037508846426
2020-9-15,101571854.71428572,32297.14285714286,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",105364308.0,32732.0,3219.0,93518736.0,29464.0,3174.0,104733519.0,32719.0,3201.0,104190450.0,33150.0,3143.0,111781800.0,33150.0,3372.0,96266442.0,32677.0,2946.0,95147728.0,32188.0,2956.0,,0.04970554436167962,0.049129206053096786
2020-8-15,96762235.14285715,30784.714285714286,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",98610846.0,30634.0,3219.0,90646266.00000001,28559.0,3174.0,98043429.0,30629.0,3201.0,100686005.0,32035.0,3143.0,104376888.0,30954.0,3372.0,93028788.0,31578.0,2946.0,91943424.0,31104.0,2956.0,,-0.1037344618950482,-0.10403136615747932
2020-7-15,107961570.57142857,34359.142857142855,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",107578980.0,33420.0,3219.0,104472210.0,32915.0,3174.0,106942209.0,33409.0,3201.0,116155851.0,36957.0,3143.0,113993832.0,33806.0,3372.0,103928988.0,35278.0,2946.0,102658924.0,34729.0,2956.0,,-0.07555051491987563,-0.075550601529769
2020-6-15,116784716.0,37167.142857142855,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",116382945.0,36155.0,3219.0,113007096.0,35604.0,3174.0,115684140.0,36140.0,3201.0,125616281.00000001,39967.0,3143.0,123317412.0,36571.0,3372.0,112422306.0,38161.0,2946.0,111062832.0,37572.0,2956.0,,0.16067940258856206,0.160675250051304
2020-5-15,100617548.42857143,32022.0,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",100275069.00000001,31151.0,3219.0,97352928.0,30672.0,3174.0,99666336.0,31136.0,3201.0,108213490.0,34430.0,3143.0,106238232.0,31506.0,3372.0,96870372.0,32882.0,2946.0,95706412.0,32377.0,2956.0,,-0.1088831740922005,-0.10889105329066373
2020-4-15,112911736.71428572,35935.0,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",112507269.0,34951.0,3219.0,109210992.0,34408.0,3174.0,111823734.0,34934.0,3201.0,121470664.0,38648.0,3143.0,119196828.0,35349.0,3372.0,108739806.0,36911.0,2946.0,107432864.0,36344.0,2956.0,,0.1229836560815376,0.1235154606482618
2020-3-15,100546197.71428572,31984.428571428572,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",100934964.0,31356.0,3219.0,97962336.0,30864.0,3174.0,100319340.0,31340.0,3201.0,109030670.0,34690.0,3143.0,106936236.00000001,31713.0,3372.0,97609818.0,33133.0,2946.0,91030020.0,30795.0,2956.0,,-0.12921711210773212,-0.12921844310911446
2020-2-15,115466437.28571428,36730.71428571428,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",115909752.0,36008.0,3219.0,112486560.0,35440.0,3174.0,115200789.0,35989.0,3201.0,125223406.0,39842.0,3143.0,122801496.0,36418.0,3372.0,112110030.0,38055.0,2946.0,104533028.0,35363.0,2956.0,,0.05042658702067637,0.05042651937313081
