,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4952262.25,19764.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5722122.0,19463.0,294.0,5640473.0,19931.0,283.0,4368684.0,20607.0,212.0,4077770.0,19055.0,214.0,,-0.022195982755270016,-0.022201333316842042
2020-11-15,5064677.75,20212.75,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5851776.0,19904.0,294.0,5768389.0,20383.0,283.0,4467900.0,21075.0,212.0,4170646.0,19489.0,214.0,,0.00833522221568539,0.008330942967960775
2020-10-15,5022811.5,20045.75,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5803266.0,19739.0,294.0,5720562.0,20214.0,283.0,4431012.0,20901.0,212.0,4136405.9999999995,19329.0,214.0,,-0.01137643737025118,-0.011380169161344433
2020-9-15,5080610.75,20276.5,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5869710.0,19965.0,294.0,5786501.0,20447.0,283.0,4482104.0,21142.0,212.0,4184128.0,19552.0,214.0,,-0.0060744439980251475,-0.0060782823950393805
2020-8-15,5111661.25,20400.5,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5905578.0,20087.0,294.0,5821593.0,20571.0,283.0,4509452.0,21271.0,212.0,4210022.0,19673.0,214.0,,-0.008609205407840492,-0.00861367253465517
2020-7-15,5156050.75,20577.75,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5956734.0,20261.0,294.0,5871967.0,20749.0,283.0,4548672.0,21456.0,212.0,4246830.0,19845.0,214.0,,-0.015979347602255722,-0.015983645753634312
2020-6-15,5239779.0,20912.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",6053166.0,20589.0,294.0,5967338.0,21086.0,283.0,4622660.0,21805.0,212.0,4315952.0,20168.0,214.0,,0.03072248087267715,0.03071899451666571
2020-5-15,5083598.25,20288.75,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5872650.0,19975.0,294.0,5789331.0,20457.0,283.0,4484860.0,21155.0,212.0,4187551.9999999995,19568.0,214.0,,-0.0257813217899866,-0.025785385880460532
2020-4-15,5218128.5,20825.75,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",6027882.0,20503.0,294.0,5942434.0,20998.0,283.0,4603580.0,21715.0,212.0,4298618.0,20087.0,214.0,,0.05602902490476258,0.05601896455555
2020-3-15,4941273.75,19721.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5707716.0,19414.0,294.0,5626889.0,19883.0,283.0,4359568.0,20564.0,212.0,4070922.0,19023.0,214.0,,-0.021471384104127855,-0.02147243068907767
2020-2-15,5049697.75,20153.75,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5832960.0,19840.0,294.0,5750277.0,20319.0,283.0,4455180.0,21015.0,212.0,4160374.0,19441.0,214.0,,-0.07086679333074264,-0.0708704070812779
2020-1-15,5434848.0,21691.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",6277782.0,21353.0,294.0,6188644.0,21868.0,283.0,4795016.0,22618.0,212.0,4477950.0,20925.0,214.0,,0.07328849883421018,0.07328055418109836
2019-12-15,5063734.5,20210.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5848836.0,19894.0,294.0,5765842.0,20374.0,283.0,4467688.0,21074.0,212.0,4172572.0000000005,19498.0,214.0,,-0.0005403661295095841,-0.000543988922407368
2019-11-15,5066472.25,20221.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5851776.0,19904.0,294.0,5768955.0,20385.0,283.0,4470232.0,21086.0,212.0,4174926.0000000005,19509.0,214.0,,0.06045877835065672,0.060453895874031494
2019-10-15,4777623.0,19068.25,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5518086.0,18769.0,294.0,5439826.0,19222.0,283.0,4215408.0,19884.0,212.0,3937172.0,18398.0,214.0,,-0.08796575306509113,-0.08797082386703337
2019-9-15,5238425.0,20907.5,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",6049932.0,20578.0,294.0,5964508.0,21076.0,283.0,4622024.0,21802.0,212.0,4317236.0,20174.0,214.0,,-0.0015698554213950944,-0.0015758936033045678
2019-8-15,5246661.5,20940.5,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",6059340.0,20610.0,294.0,5973564.0,21108.0,283.0,4629444.0,21837.0,212.0,4324298.0,20207.0,214.0,,0.009415615601200633,0.009411793061062212
2019-7-15,5197721.75,20745.25,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",6002598.0,20417.0,294.0,5917813.0,20911.0,283.0,4586196.0,21633.0,212.0,4284280.0,20020.0,214.0,,,
2019-6-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2019-5-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
