,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,9492689.42857143,22381.571428571428,7,66448826.0,156671.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13050297.0,20423.0,639.0,10163728.0,23152.0,439.0,6507396.0,23324.0,279.0,5472320.0,24430.0,224.0,10885952.0,21056.0,517.0,10911285.0,21105.0,517.0,9457848.0,23181.0,408.0,-0.014773703384443282,-0.01477172682681438
2019-11-15,9635034.57142857,22717.14285714286,7,67445242.0,159020.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13246470.0,20730.0,639.0,10316500.0,23500.0,439.0,6605046.0,23674.0,279.0,5554528.0,24797.0,224.0,11049324.0,21372.0,517.0,11075174.0,21422.0,517.0,9598200.0,23525.0,408.0,0.0832087649061728,0.0832129914716222
2019-10-15,8894900.857142856,20972.0,7,62264306.0,146804.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",12229182.0,19138.0,639.0,9524544.0,21696.0,439.0,6097824.0,21856.0,279.0,5127808.0,22892.0,224.0,10200927.0,19731.0,517.0,10224709.0,19777.0,517.0,8859312.0,21714.0,408.0,-0.08892789153718206,-0.08892653894608804
2019-9-15,9763114.0,23019.0,7,68341798.0,161133.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13423473.0,21007.0,639.0,10454785.0,23815.0,439.0,6692931.0,23989.0,279.0,5628672.0,25128.0,224.0,11196669.0,21657.0,517.0,11223036.0,21708.0,517.0,9722232.0,23829.0,408.0,-0.0036438355145849144,-0.0036358914426697364
2019-8-15,9798819.285714285,23103.0,7,68591735.0,161721.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13472037.0,21083.0,639.0,10492978.0,23902.0,439.0,6717483.0,24077.0,279.0,5649056.0,25219.0,224.0,11237512.0,21736.0,517.0,11266981.0,21793.0,517.0,9755688.0,23911.0,408.0,0.009951577587946403,0.009954598537410986
2019-7-15,9702266.42857143,22875.285714285714,7,67915865.0,160127.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13339764.0,20876.0,639.0,10390252.0,23668.0,439.0,6651360.0,23840.0,279.0,5593504.0,24971.0,224.0,11126874.0,21522.0,517.0,11156343.0,21579.0,517.0,9657768.0,23671.0,408.0,-0.03645031597330661,-0.03644755211091322
2019-6-15,10069295.42857143,23740.571428571428,7,70485068.0,166184.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13844574.0,21666.0,639.0,10784035.0,24565.0,439.0,6903018.0,24742.0,279.0,5805184.0,25916.0,224.0,11548229.0,22337.0,517.0,11578732.0,22396.0,517.0,10021296.0,24562.0,408.0,0.011231219341097942,0.011232946731735804
2019-5-15,9957461.0,23476.85714285714,7,69702227.0,164338.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13691214.0,21426.0,639.0,10664627.0,24293.0,439.0,6826572.0,24468.0,279.0,5740896.0,25629.0,224.0,11420530.0,22090.0,517.0,11450516.0,22148.0,517.0,9907872.0,24284.0,408.0,0.02136995213005166,0.021373656766045857
2019-4-15,9749122.714285715,22985.571428571428,7,68243859.0,160899.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13405581.0,20979.0,639.0,10442054.0,23786.0,439.0,6684003.0,23957.0,279.0,5620832.0,25093.0,224.0,11181676.0,21628.0,517.0,11211145.0,21685.0,517.0,9698568.0,23771.0,408.0,-0.012513470094220325,-0.012513962366053288
2019-3-15,9872664.0,23276.85714285714,7,69108648.0,162938.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13575555.0,21245.0,639.0,10575071.0,24089.0,439.0,6768819.0,24261.0,279.0,5692288.0,25412.0,224.0,11323851.0,21903.0,517.0,11353320.0,21960.0,517.0,9819744.0,24068.0,408.0,0.02116506855615219,0.02101074662405611
2019-2-15,9668039.285714285,22797.85714285714,7,67676275.0,159585.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13305897.0,20823.0,639.0,10365229.0,23611.0,439.0,6634341.0,23779.0,279.0,5579168.0,24907.0,224.0,11041052.0,21356.0,517.0,11127908.0,21524.0,517.0,9622680.0,23585.0,408.0,0.025113574915471393,0.028035276004457765
2019-1-15,9431188.42857143,22176.14285714286,7,66018319.0,155233.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13134006.0,20554.0,639.0,9992957.0,22763.0,439.0,6395796.0,22924.0,279.0,5378688.0,24012.0,224.0,10643996.0,20588.0,517.0,11198220.0,21660.0,517.0,9274656.0,22732.0,408.0,-0.03435496216328826,-0.018301744800065634
2018-12-15,9766723.857142856,22589.571428571428,7,68367067.0,158127.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",16279164.0,25476.0,639.0,9843258.0,22422.0,439.0,6299820.0,22580.0,279.0,5297824.0,23651.0,224.0,10484243.0,20279.0,517.0,11029678.0,21334.0,517.0,9133080.0,22385.0,408.0,-0.008812954386042238,-0.008813223596372044
2018-11-15,9853562.857142856,22790.428571428572,7,68974940.0,159533.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",16424217.0,25703.0,639.0,9931497.0,22623.0,439.0,6356178.0,22782.0,279.0,5345088.0,23862.0,224.0,10577820.0,20460.0,517.0,11127908.0,21524.0,517.0,9212232.0,22579.0,408.0,-0.016599375011468354,-0.016594236400061635
2018-10-15,10019886.714285715,23175.0,7,70139207.0,162225.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",16702181.999999998,26138.0,639.0,10099634.0,23006.0,439.0,6463593.0,23167.0,279.0,5435360.0,24265.0,224.0,10756702.0,20806.0,517.0,11316096.0,21888.0,517.0,9365640.0,22955.0,408.0,0.02694383199418926,0.008554607115990764
