,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6423575.0,12957.375,8,51388600.0,103659.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6196457.0,12319.0,503.0,5899860.0,13140.0,449.0,7439096.0,13097.0,568.0,5774900.0,13588.0,425.0,7940054.0,11798.0,673.0,6256575.0,13455.0,465.0,6287170.0,12910.0,487.0,5594487.999999999,13352.0,419.0,-0.0002989846951312325,-0.00029896807792462177
2019-11-15,6425496.125,12961.25,8,51403969.0,103690.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6197463.0,12321.0,503.0,5901207.0,13143.0,449.0,7440232.0,13099.0,568.0,5777025.0,13593.0,425.0,7943419.0,11803.0,673.0,6258435.0,13459.0,465.0,6289605.0,12915.0,487.0,5596583.0,13357.0,419.0,0.02017004246755083,0.02016922471467919
2019-10-15,6298456.0,12705.0,8,50387648.0,101640.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6074228.0,12076.0,503.0,5784018.0,12882.0,449.0,7291984.0,12838.0,568.0,5662700.0,13324.0,425.0,7787283.0,11571.0,673.0,6135210.0,13194.0,465.0,6165420.0,12660.0,487.0,5486805.0,13095.0,419.0,0.01078032794462036,0.010780062850550998
2019-9-15,6231280.75,12569.5,8,49850246.0,100556.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6008335.0,11945.0,503.0,5722056.000000001,12744.0,449.0,7213600.0,12700.0,568.0,5602775.0,13183.0,425.0,7705177.0,11449.0,673.0,6069645.0,13053.0,465.0,6099675.0,12525.0,487.0,5428983.0,12957.0,419.0,-0.053945560823238314,-0.05394674945902722
2019-8-15,6586598.5,13286.25,8,52692788.0,106290.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6350375.0,12625.0,503.0,6048030.0,13470.0,449.0,7623696.0,13422.0,568.0,5922375.0,13935.0,425.0,8145319.0,12103.0,673.0,6416070.0,13798.0,465.0,6447880.0,13240.0,487.0,5739043.0,13697.0,419.0,0.041171336198507325,0.04117076611125814
2019-7-15,6326142.75,12760.875,8,50609142.0,102087.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6098372.0,12124.0,503.0,5808713.0,12937.0,449.0,7320952.0,12889.0,568.0,5688200.0,13384.0,425.0,7824298.0,11626.0,673.0,6162645.0,13253.0,465.0,6193179.0,12717.0,487.0,5512783.0,13157.0,419.0,-0.04414356228746419,-0.04414711334993726
2019-6-15,6618298.0,13350.25,8,52946384.0,106802.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6379046.000000001,12682.0,503.0,6076317.0,13533.0,449.0,7657776.0,13482.0,568.0,5951275.0,14003.0,425.0,8186372.0,12164.0,673.0,6447690.0,13866.0,465.0,6479535.0,13305.0,487.0,5768373.0,13767.0,419.0,0.002505924750761279,0.002506218613601119
2019-5-15,6601754.5,13316.875,8,52814036.0,106535.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6361944.0,12648.0,503.0,6061051.0,13499.0,449.0,7637896.0,13447.0,568.0,5936400.0,13968.0,425.0,8166855.0,12135.0,673.0,6431880.0,13832.0,465.0,6463464.0,13272.0,487.0,5754546.0,13734.0,419.0,-0.0036467966334400304,-0.0036474164133738496
2019-4-15,6625917.875,13365.625,8,53007343.0,106925.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6384579.0,12693.0,503.0,6082603.0,13547.0,449.0,7664592.0,13494.0,568.0,5958500.0,14020.0,425.0,8197813.0,12181.0,673.0,6455595.0,13883.0,465.0,6487327.0,13321.0,487.0,5776334.0,13786.0,419.0,0.060628937064474586,0.060627101663475846
2019-3-15,6247159.25,12601.625,8,49977274.0,100813.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6018395.0,11965.0,503.0,5734628.000000001,12772.0,449.0,7225528.0,12721.0,568.0,5618075.0,13219.0,425.0,7730078.0,11486.0,673.0,6086850.0,13090.0,465.0,6116720.0,12560.0,487.0,5447000.0,13000.0,419.0,0.03856956524287036,0.038570501395914336
2019-2-15,6015157.25,12133.625,8,48121258.0,97069.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",5794057.0,11519.0,503.0,5521353.0,12297.0,449.0,6956296.0,12247.0,568.0,5409400.0,12728.0,425.0,7444053.0,11061.0,673.0,5860860.0,12604.0,465.0,5889778.000000001,12094.0,487.0,5245461.0,12519.0,419.0,0.0091499109414932,0.009148655251639992
