,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,15242899.0,13283.666666666666,3,45728697.0,39851.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16085712.000000002,12646.0,1272.0,15938745.0,12885.0,1237.0,13704240.000000002,14320.0,957.0,-0.0003030875337304284,-0.0003010310312820952
2019-11-15,15247520.333333334,13287.666666666666,3,45742561.0,39863.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16090800.0,12650.0,1272.0,15943693.0,12889.0,1237.0,13708068.0,14324.0,957.0,0.02011018803320308,0.020114133633595266
2019-10-15,14946934.666666666,13025.666666666666,3,44840804.0,39077.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",15774072.0,12401.0,1272.0,15629495.0,12635.0,1237.0,13437237.0,14041.0,957.0,0.0107568386256911,0.010760197615167666
2019-9-15,14787864.0,12887.0,3,44363592.0,38661.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",15606168.0,12269.0,1272.0,15463737.0,12501.0,1237.0,13293687.0,13891.0,957.0,-0.05393282891165552,-0.05393368408173249
2019-8-15,15630881.666666666,13621.666666666666,3,46892645.0,40865.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16495296.0,12968.0,1272.0,16345718.0,13214.0,1237.0,14051631.0,14683.0,957.0,0.04111929486207866,0.041119971465695127
2019-7-15,15013535.666666666,13083.666666666666,3,45040607.0,39251.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",15844032.0,12456.0,1272.0,15700004.0,12692.0,1237.0,13496571.0,14103.0,957.0,-0.04412762286232552,-0.044127316562355356
2019-6-15,15706632.0,13687.666666666666,3,47119896.0,41063.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16575432.0,13031.0,1272.0,16424886.0,13278.0,1237.0,14119578.0,14754.0,957.0,0.0024138826289885618,0.0024167561761547773
2019-5-15,15668809.333333334,13654.666666666666,3,47006428.0,40964.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16536000.0,13000.0,1272.0,16385302.0,13246.0,1237.0,14085126.0,14718.0,957.0,-0.0036009811619641674,-0.003599922163845193
2019-4-15,15725436.333333334,13704.0,3,47176309.0,41112.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16595784.0,13047.0,1272.0,16444678.0,13294.0,1237.0,14135847.0,14771.0,957.0,0.06056891047221313,0.06057166443091533
2019-3-15,14827359.333333334,12921.333333333334,3,44482078.0,38764.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",15648144.0,12302.0,1272.0,15505795.0,12535.0,1237.0,13328139.0,13927.0,957.0,0.03852267525138631,0.038525424636982386
2019-2-15,14277357.333333334,12442.0,3,42832072.0,37326.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",15068112.0,11846.0,1272.0,14930589.999999998,12070.0,1237.0,12833370.0,13410.0,957.0,0.009164338079003631,0.009165382431665092
2019-1-15,14147703.0,12329.0,3,42443109.0,36987.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",14930736.0,11738.0,1272.0,14795757.0,11961.0,1237.0,12716616.0,13288.0,957.0,0.056379976833521805,0.056379059206580484
2018-12-15,13392627.0,11671.0,3,40177881.0,35013.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",14134464.0,11112.0,1272.0,14005314.0,11322.0,1237.0,12038103.0,12579.0,957.0,,
2018-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
