,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,12163471.0,12453.0,3,36490413.0,37359.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12747984.0,10022.0,1272.0,9765444.0,12732.0,767.0,13976985.0,14605.0,957.0,-0.00032830720678422853,-0.00032110459982337414
2019-11-15,12167465.666666666,12457.0,3,36502397.0,37371.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12753072.0,10026.0,1272.0,9768512.0,12736.0,767.0,13980813.0,14609.0,957.0,0.020143179011828938,0.020145770207190328
2019-10-15,11927213.666666666,12211.0,3,35781641.0,36633.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12501216.0,9828.0,1272.0,9575228.0,12484.0,767.0,13705197.0,14321.0,957.0,0.010790841457213318,0.010788587826279006
2019-9-15,11799883.0,12080.666666666666,3,35399649.0,36242.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12367656.0,9723.0,1272.0,9473217.0,12351.0,767.0,13558776.0,14168.0,957.0,-0.0539810954686849,-0.05398068389454458
2019-8-15,12473200.0,12770.0,3,37419600.0,38310.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",13073616.0,10278.0,1272.0,10013952.0,13056.0,767.0,14332032.0,14976.0,957.0,0.041143932814948325,0.041145776714860194
2019-7-15,11980284.0,12265.333333333334,3,35940852.0,36796.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12557184.0,9872.0,1272.0,9618180.0,12540.0,767.0,13765488.0,14384.0,957.0,-0.044161408748221054,-0.0441604322527015
2019-6-15,12533794.0,12832.0,3,37601382.0,38496.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",13137216.0,10328.0,1272.0,10062273.0,13119.0,767.0,14401893.0,15049.0,957.0,0.002480113965002584,0.0024738939090127587
2019-5-15,12502785.666666666,12800.333333333334,3,37508357.0,38401.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",13104144.0,10302.0,1272.0,10037729.0,13087.0,767.0,14366484.0,15012.0,957.0,-0.0003365050430582661,-0.001118510040578391
2019-4-15,12506994.333333334,12814.666666666666,3,37520983.0,38444.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",13026552.0,10241.0,1272.0,10075312.0,13136.0,767.0,14419119.0,15067.0,957.0,0.06060779431893781,0.06061191271001731
2019-3-15,11792289.666666666,12082.333333333334,3,35376869.0,36247.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12282432.0,9656.0,1272.0,9499295.0,12385.0,767.0,13595142.000000002,14206.0,957.0,0.03853685564504428,0.038536473554524164
2019-2-15,11354714.666666666,11634.0,3,34064144.0,34902.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11827056.0,9298.0,1272.0,9147242.0,11926.0,767.0,13089846.0,13678.0,957.0,0.007549460711608225,0.007127398643774319
2019-1-15,11269635.0,11551.666666666666,3,33808905.0,34655.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11720208.0,9214.0,1272.0,9116562.0,11886.0,767.0,12972135.0,13555.0,957.0,0.05642369530416502,0.05642604560419451
2018-12-15,10667722.666666666,10934.666666666666,3,32003168.0,32804.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11094384.0,8722.0,1272.0,8629517.0,11251.0,767.0,12279267.0,12831.0,957.0,-0.027626173371918195,-0.027626274602798317
2018-11-15,10970804.0,11245.333333333334,3,32912412.0,33736.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",11409840.0,8970.0,1272.0,8874957.0,11571.0,767.0,12627615.0,13195.0,957.0,-0.051188807027849226,-0.051186860164247894
2018-10-15,11562684.0,11852.0,3,34688052.0,35556.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12025488.0,9454.0,1272.0,9353565.0,12195.0,767.0,13308999.0,13907.0,957.0,-0.021791088019183835,-0.021789369428854455
2018-9-15,11820260.333333334,12116.0,3,35460781.0,36348.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12293880.0,9665.0,1272.0,9562189.0,12467.0,767.0,13604712.0,14216.0,957.0,-0.0547443193010827,-0.054742152757912166
2018-8-15,12504828.666666666,12817.666666666666,3,37514486.0,38453.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",13006200.0,10225.0,1272.0,10115963.0,13189.0,767.0,14392323.0,15039.0,957.0,-0.13295632961414305,-0.11023439850059003
2018-7-15,14422374.666666666,14405.666666666666,3,43267124.0,43217.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",18150168.0,14269.0,1272.0,10440404.0,13612.0,767.0,14676552.0,15336.0,957.0,,
2018-6-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2018-5-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
