,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,7300263.0,15617.714285714286,7,51101841.0,109324.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13426866.0,16638.0,807.0,6565512.0,15412.0,426.0,6501370.0,15857.0,410.0,8354016.0,14256.0,586.0,6677481.0,15861.0,421.0,4871532.0,15564.0,313.0,4705064.0,15736.0,299.0,-0.036012883912194926,-0.03604556837019013
2019-11-15,7572988.142857143,16201.714285714286,7,53010917.0,113412.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13923171.0,17253.0,807.0,6811740.0,15990.0,426.0,6744500.0,16450.0,410.0,8668698.0,14793.0,586.0,6928818.0,16458.0,421.0,5054011.0,16147.0,313.0,4879979.0,16321.0,299.0,-0.014783859379657649,-0.014853807265335917
2019-10-15,7686626.142857143,16446.0,7,53806383.0,115122.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14126535.0,17505.0,807.0,6914832.0,16232.0,426.0,6847410.0,16701.0,410.0,8799376.0,15016.0,586.0,7032805.0,16705.0,421.0,5130696.0,16392.0,313.0,4954729.0,16571.0,299.0,-0.013596237781708376,-0.013673983447283211
2019-9-15,7792575.857142857,16674.0,7,54548031.0,116718.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14316180.0,17740.0,807.0,7011108.0,16458.0,426.0,6943350.0,16935.0,410.0,8920092.0,15222.0,586.0,7129635.0,16935.0,421.0,5202373.0,16621.0,313.0,5025293.0,16807.0,299.0,0.014877015443153008,0.014797941156013072
2019-8-15,7678345.0,16430.85714285714,7,53748415.0,115016.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14101518.0,17474.0,807.0,6908868.0,16218.0,426.0,6843310.0,16691.0,410.0,8788828.0,14998.0,586.0,7024806.0,16686.0,421.0,5127253.0,16381.0,313.0,4953832.0,16568.0,299.0,-0.010347121362879297,-0.010427779880923804
2019-7-15,7758624.428571428,16604.0,7,54310371.0,116228.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14243550.0,17650.0,807.0,6982140.0,16390.0,426.0,6916290.0,16869.0,410.0,8880244.0,15154.0,586.0,7098481.0,16861.0,421.0,5181715.0,16555.0,313.0,5007951.0,16749.0,299.0,0.008624226082123654,0.008547156877207307
2019-6-15,7692284.428571428,16463.285714285714,7,53845991.0,115243.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14116851.0,17493.0,807.0,6923352.0,16252.0,426.0,6858480.0,16728.0,410.0,8804064.0,15024.0,586.0,7037436.0,16716.0,421.0,5138521.0,16417.0,313.0,4967287.0,16613.0,299.0,-0.0037498981473511606,-0.005368316575324883
2019-5-15,7721238.285714285,16552.14285714286,7,54048668.0,115865.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14018397.0,17371.0,807.0,6975750.0,16375.0,426.0,6911370.0,16857.0,410.0,8869110.0,15135.0,586.0,7089640.0,16840.0,421.0,5177646.0,16542.0,313.0,5006755.0,16745.0,299.0,-0.004332338734154506,-0.004399494745525145
2019-4-15,7754834.857142857,16625.285714285714,7,54283844.0,116377.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14075694.0,17442.0,807.0,7006848.0,16448.0,426.0,6942940.0,16934.0,410.0,8906614.0,15199.0,586.0,7119952.0,16912.0,421.0,5201121.0,16617.0,313.0,5030675.0,16825.0,299.0,0.03386262157643438,0.03379140646513812
2019-3-15,7500836.857142857,16081.857142857143,7,52505858.0,112573.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13610862.0,16866.0,807.0,6778086.0,15911.0,426.0,6716619.999999999,16382.0,410.0,8614200.0,14700.0,586.0,6886297.0,16357.0,421.0,5031475.0,16075.0,313.0,4868318.000000001,16282.0,299.0,0.06195648810326815,0.061889220088291896
2019-2-15,7063224.285714285,15144.57142857143,7,49442570.0,106012.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",12813546.0,15878.0,807.0,6383183.999999999,14984.0,426.0,6325889.999999999,15429.0,410.0,8110826.0,13841.0,586.0,6484242.0,15402.0,421.0,4738820.0,15140.0,313.0,4586062.0,15338.0,299.0,0.02093088611740379,0.020857808678235168
2019-1-15,6918415.714285715,14835.142857142857,7,48428910.0,103846.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",12547236.0,15548.0,807.0,6252828.0,14678.0,426.0,6197560.0,15116.0,410.0,7943816.0,13556.0,586.0,6350785.000000001,15085.0,421.0,4642416.0,14832.0,313.0,4494269.0,15031.0,299.0,-0.008090054587612028,-0.008166111116417185
2018-12-15,6974842.571428572,14957.285714285714,7,48823898.0,104701.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",12645689.999999998,15670.0,807.0,6304374.000000001,14799.0,426.0,6249630.0,15243.0,410.0,8007689.999999999,13665.0,586.0,6402147.0,15207.0,421.0,4681228.0,14956.0,313.0,4533139.0,15161.0,299.0,0.007090988171111645,0.007021188600667472
2018-11-15,6925732.285714285,14853.0,7,48480126.0,103971.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",12552885.0,15555.0,807.0,6260496.0,14696.0,426.0,6206990.0,15139.0,410.0,7950848.0,13568.0,586.0,6356679.000000001,15099.0,421.0,4648989.0,14853.0,313.0,4503239.0,15061.0,299.0,-0.06809375844345622,-0.06816817085958582
2018-10-15,7431790.857142857,15939.57142857143,7,52022536.0,111577.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13465601.999999998,16686.0,807.0,6718872.0,15772.0,426.0,6662090.000000001,16249.0,410.0,8530988.0,14558.0,586.0,6820621.0,16201.0,421.0,4989533.0,15941.0,313.0,4834830.0,16170.0,299.0,-0.06864383357157966,-0.0687093624018228
2018-9-15,7979536.857142857,17115.571428571428,7,55856758.0,119809.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14454177.0,17911.0,807.0,7214735.999999999,16936.0,426.0,7154500.0,17450.0,410.0,9158594.0,15629.0,586.0,7322874.0,17394.0,421.0,5358247.0,17119.0,313.0,5193630.0,17370.0,299.0,-0.01590106190720386,-0.01598291651266892
2018-8-15,8108470.142857143,17393.571428571428,7,56759291.0,121755.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14682558.0,18194.0,807.0,7332312.0,17212.0,426.0,7271760.0,17736.0,410.0,9305680.0,15880.0,586.0,7440754.0,17674.0,421.0,5445887.0,17399.0,313.0,5280340.0,17660.0,299.0,0.0361997509182741,0.03612458514168981
2018-7-15,7825199.857142857,16787.14285714286,7,54776399.0,117510.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",14165271.0,17553.0,807.0,7077138.0,16613.0,426.0,7019200.0,17120.0,410.0,8979864.0,15324.0,586.0,7180155.0,17055.0,421.0,5256522.000000001,16794.0,313.0,5098249.0,17051.0,299.0,0.02040457099766657,0.02031779109143028
2018-6-15,7668722.857142857,16452.85714285714,7,53681060.0,115170.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13877172.0,17196.0,807.0,6936132.0,16282.0,426.0,6880620.0,16782.0,410.0,8799376.0,15016.0,586.0,7036173.0,16713.0,421.0,5152606.0,16462.0,313.0,4998981.0,16719.0,299.0,0.0059838176605628846,0.007549843841584414
2018-5-15,7623107.571428572,16329.57142857143,7,53361753.0,114307.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13943346.0,17278.0,807.0,6869250.0,16125.0,426.0,6815020.0,16622.0,410.0,8712062.0,14867.0,586.0,6966287.0,16547.0,421.0,5103152.0,16304.0,313.0,4952636.0,16564.0,299.0,,
2018-4-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2018-3-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2018-2-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2018-1-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-12-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-11-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-10-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-9-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
