,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7632753.5,15257.166666666666,6,45796521.0,91543.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8634980.0,15844.0,545.0,8051850.000000001,15425.0,522.0,6319400.0,16630.0,380.0,9178702.0,15349.0,598.0,7032959.999999999,14208.0,495.0,6578629.0,14087.0,467.0,-0.04987397425792739,-0.0498712998712999
2019-11-15,8033411.666666667,16058.0,6,48200470.0,96348.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9088965.0,16677.0,545.0,8475192.0,16236.0,522.0,6650380.0,17501.0,380.0,9659494.0,16153.0,598.0,7402230.000000001,14954.0,495.0,6924209.0,14827.0,467.0,0.05680221433423771,0.0552786935520968
2019-10-15,7601622.666666667,15216.833333333334,6,45609736.0,91301.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8677490.0,15922.0,545.0,8091522.0,15501.0,522.0,6347900.0,16705.0,380.0,8816314.0,14743.0,598.0,7066125.0,14275.0,495.0,6610385.0,14155.0,467.0,-0.017134731394900293,-0.01712741678508367
2019-9-15,7734145.166666667,15482.0,6,46404871.0,92892.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8828455.0,16199.0,545.0,8232984.0,15772.0,522.0,6457720.0,16994.0,380.0,8970598.0,15001.0,598.0,7189380.0,14524.0,495.0,6725734.0,14402.0,467.0,-0.037724198650442076,-0.037727640002486185
2019-8-15,8037347.666666667,16089.0,6,48224086.0,96534.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9173985.0,16833.0,545.0,8555580.0,16390.0,522.0,6711180.0,17661.0,380.0,9322222.0,15589.0,598.0,7471530.0,15094.0,495.0,6989589.0,14967.0,467.0,0.0038792837314101103,0.003868471953578423
2019-7-15,8006289.0,16027.0,6,48037734.0,96162.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9138015.0,16767.0,545.0,8522172.0,16326.0,522.0,6686480.0,17596.0,380.0,9285744.000000002,15528.0,598.0,7442820.0,15036.0,495.0,6962503.0,14909.0,467.0,0.004628241992480131,0.004617634768073531
2019-6-15,7969404.666666667,15953.333333333334,6,47816428.0,95720.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9094960.0,16688.0,545.0,8482500.0,16250.0,522.0,6656840.0,17518.0,380.0,9242688.0,15456.0,598.0,7409160.0,14968.0,495.0,6930280.0,14840.0,467.0,-0.011587450018080814,-0.011596088514399527
2019-5-15,8062832.333333333,16140.5,6,48376994.0,96843.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9200690.0,16882.0,545.0,8581680.0,16440.0,522.0,6735880.0,17726.0,380.0,9350926.0,15637.0,598.0,7496280.0,15144.0,495.0,7011538.0,15014.0,467.0,0.024660176325363103,0.024652693280289517
2019-4-15,7868786.666666667,15752.166666666666,6,47212720.0,94513.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8978330.0,16474.0,545.0,8374968.0,16044.0,522.0,6574760.0,17302.0,380.0,9126078.0,15261.0,598.0,7316100.0,14780.0,495.0,6842484.000000001,14652.0,467.0,0.03511124842615598,0.03510097691330438
2019-3-15,7601875.333333333,15218.0,6,45611252.0,91308.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8673130.0,15914.0,545.0,8090478.0,15499.0,522.0,6352840.0,16718.0,380.0,8816314.0,14743.0,598.0,7068105.0,14279.0,495.0,6610385.0,14155.0,467.0,-0.0034277996377218845,-0.003438001375200561
2019-2-15,7628022.666666667,15270.5,6,45768136.0,91623.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8702015.0,15967.0,545.0,8118143.999999999,15552.0,522.0,6375640.0,16778.0,380.0,8846214.0,14793.0,598.0,7092855.000000001,14329.0,495.0,6633267.999999999,14204.0,467.0,0.01887971738593941,0.01887107177012215
