,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,11042770.0,13498.5,2,22085540.0,26997.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12742220.0,14285.0,892.0,9343320.0,12712.0,735.0,-0.04993768500704543,-0.04993665540540537
2019-11-15,11623206.0,14208.0,2,23246412.0,28416.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13412112.0,15036.0,892.0,9834300.0,13380.0,735.0,0.04555100654427058,0.0455515490470233
2019-10-15,11116823.5,13589.0,2,22233647.0,27178.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12827852.0,14381.0,892.0,9405795.0,12797.0,735.0,-0.05815145075319217,-0.05815081785417242
2019-9-15,11803196.5,14428.0,2,23606393.0,28856.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13619948.0,15269.0,892.0,9986445.0,13587.0,735.0,0.03865596125841675,0.03865812396515733
2019-8-15,11363913.5,13891.0,2,22727827.0,27782.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13113292.0,14701.0,892.0,9614535.0,13081.0,735.0,-0.03360772908801224,-0.03360233755391684
2019-7-15,11759110.5,14374.0,2,23518221.0,28748.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13569996.0,15213.0,892.0,9948225.0,13535.0,735.0,0.07356405537909749,0.07356785420867884
2019-6-15,10953338.5,13389.0,2,21906677.0,26778.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12640532.0,14171.0,892.0,9266145.0,12607.0,735.0,-0.0768745943858129,-0.07687534473248758
2019-5-15,11865493.5,14504.0,2,23730987.0,29008.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13693092.0,15351.0,892.0,10037895.0,13657.0,735.0,0.04235922509503065,0.04236587732221775
2019-4-15,11383305.5,13914.5,2,22766611.0,27829.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13137376.0,14728.0,892.0,9629235.0,13101.0,735.0,0.0336898194682802,0.03368991902533236
2019-3-15,11012303.0,13461.0,2,22024606.0,26922.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12709216.0,14248.0,892.0,9315390.0,12674.0,735.0,0.027868546585142484,0.027871105681124053
2019-2-15,10713727.0,13096.0,2,21427454.0,26192.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12364904.0,13862.0,892.0,9062550.0,12330.0,735.0,0.03722090517110965,0.037224774275304906
