,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14716518.333333334,12851.666666666666,3,44149555.0,38555.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14054794.0,11362.0,1237.0,16439328.000000002,12924.0,1272.0,13655433.0,14269.0,957.0,-0.0003139249703469904,-0.00031114683537736276
2019-11-15,14721139.666666666,12855.666666666666,3,44163419.0,38567.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14059742.0,11366.0,1237.0,16444416.0,12928.0,1272.0,13659261.0,14273.0,957.0,0.02007488700992921,0.020075116377486157
2019-10-15,14431430.333333334,12602.666666666666,3,43294291.0,37808.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13783891.0,11143.0,1237.0,16120056.0,12673.0,1272.0,13390343.999999998,13992.0,957.0,0.010716454572261336,0.010719918731788125
2019-9-15,14278416.333333334,12469.0,3,42835249.0,37407.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13639161.999999998,11026.0,1237.0,15948335.999999998,12538.0,1272.0,13247751.0,13843.0,957.0,-0.05397329788623062,-0.053969297691004336
2019-8-15,15093037.333333334,13180.333333333334,3,45279112.0,39541.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14418472.0,11656.0,1237.0,16857816.0,13253.0,1272.0,14002824.0,14632.0,957.0,0.041068401765647966,0.04107316816302897
2019-7-15,14497642.333333334,12660.333333333334,3,43492927.0,37981.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13850689.0,11197.0,1237.0,16192560.0,12730.0,1272.0,13449678.0,14054.0,957.0,-0.04419466007342354,-0.044190552885220225
2019-6-15,15167986.333333334,13245.666666666666,3,45503959.0,39737.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14492692.0,11716.0,1237.0,16940496.0,13318.0,1272.0,14070771.0,14703.0,957.0,0.0023975041900976546,0.0023964482114928742
2019-5-15,15131708.0,13214.0,3,45395124.0,39642.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14458056.0,11688.0,1237.0,16899792.0,13286.0,1272.0,14037276.0,14668.0,957.0,-0.0037237301298074232,-0.0037195275194773503
2019-4-15,15188265.0,13263.333333333334,3,45564795.0,39790.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14513721.0,11733.0,1237.0,16962120.0,13335.0,1272.0,14088954.0,14722.0,957.0,0.06055548871531524,0.0605575990191376
2019-3-15,14321047.0,12506.0,3,42963141.0,37518.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13686168.0,11064.0,1237.0,15992856.0,12573.0,1272.0,13284117.0,13881.0,957.0,0.038525337053702424,0.038531805347948866
2019-2-15,13789790.666666666,12042.0,3,41369372.0,36126.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13180235.0,10655.0,1237.0,15398832.0,12106.0,1272.0,12790305.0,13365.0,957.0,0.009049213640669462,0.009049773755656076
2019-1-15,13666123.0,11934.0,3,40998369.0,35802.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13062720.0,10560.0,1237.0,15260184.0,11997.0,1272.0,12675465.0,13245.0,957.0,0.05631879485411084,0.05632431475525923
2018-12-15,12937498.666666666,11297.666666666666,3,38812496.0,33893.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",12367526.000000002,9998.0,1237.0,14446104.0,11357.0,1272.0,11998866.0,12538.0,957.0,-0.027660003714245263,-0.027655851048569935
