,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,6792915.5,16814.5,2,13585831.0,33629.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6824168.999999999,16767.0,407.0,6761662.0,16862.0,401.0,-0.049920893356804275,-0.04992089501638608
2019-11-15,7149842.0,17698.0,2,14299684.0,35396.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7182736.0,17648.0,407.0,7116948.0,17748.0,401.0,0.047435751032058215,0.04743585949752904
2019-10-15,6826043.5,16896.5,2,13652087.0,33793.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6857543.0,16849.0,407.0,6794544.0,16944.0,401.0,-0.017159570383690537,-0.01715964284675564
2019-9-15,6945220.5,17191.5,2,13890441.0,34383.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6977201.0,17143.0,407.0,6913240.0,17240.0,401.0,-0.037726304658649235,-0.03772634407097475
2019-8-15,7217510.5,17865.5,2,14435021.0,35731.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7250705.0,17815.0,407.0,7184316.0,17916.0,401.0,0.0039052448356853287,0.0039053719937065523
2019-7-15,7189434.0,17796.0,2,14378868.0,35592.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7222622.0,17746.0,407.0,7156246.0,17846.0,401.0,0.004685922194015424,0.004685823971094738
2019-6-15,7155902.0,17713.0,2,14311804.0,35426.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7188841.0,17663.0,407.0,7122963.0,17763.0,401.0,-0.011578953111583412,-0.01157891799893973
2019-5-15,7239730.5,17920.5,2,14479461.0,35841.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7273090.0,17870.0,407.0,7206371.0,17971.0,401.0,0.024702041575436207,0.024701946993738844
2019-4-15,7065205.5,17488.5,2,14130411.0,34977.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",7097673.0,17439.0,407.0,7032738.0,17538.0,401.0,0.03515922637394708,0.035159371393056915
2019-3-15,6825235.5,16894.5,2,13650471.0,33789.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6856729.0,16847.0,407.0,6793742.0,16942.0,401.0,-0.0034213954758353093,-0.003421324288452987
2019-2-15,6848667.5,16952.5,2,13697335.0,33905.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6880335.000000001,16905.0,407.0,6817000.0,17000.0,401.0,0.01890268568056075,0.018902512321192555
2019-1-15,6721611.0,16638.0,2,13443222.0,33276.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6752537.0,16591.0,407.0,6690685.0,16685.0,401.0,0.03987490456561216,0.039875000000000105
2018-12-15,6463865.0,16000.0,2,12927730.0,32000.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6493685.0,15955.0,407.0,6434045.0,16045.0,401.0,-0.03533085007423964,-0.03533100204992157
2018-11-15,6700603.0,16586.0,2,13401206.0,33172.0,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",6731373.0,16539.0,407.0,6669833.0,16633.0,401.0,,
2018-10-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-9-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-8-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-7-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-6-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-5-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-4-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-3-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-2-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2018-1-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-12-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-11-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-10-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-9-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-8-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-7-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-6-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-5-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-4-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-3-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-2-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2017-1-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-12-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-11-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-10-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-9-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-8-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-7-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-6-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-5-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-4-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-3-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-2-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
2016-1-15,,,2,,,808,"ALTO RESIDENCES(Block 3),TONG YIN ST|藍塘傲3座,唐賢街",,,407.0,,,401.0,,
