,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,4076299.0,18431.666666666668,3,12228897.0,55295.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",4709089.0,18613.0,253.0,3044168.0,18562.0,164.0,4475640.0,18120.0,247.0,-0.17546033589637944,-0.17545220023560637
2019-11-15,4943727.0,22353.666666666668,3,14831181.0,67061.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5711222.0,22574.0,253.0,3691640.0,22510.0,164.0,5428319.0,21977.0,247.0,0.03980604639381147,0.0398021521381835
2019-10-15,4754470.333333333,21498.0,3,14263411.0,64494.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5492630.0,21710.0,253.0,3550436.0,21649.0,164.0,5220345.0,21135.0,247.0,-0.059942911450136194,-0.05995015085924171
2019-9-15,5057640.0,22869.0,3,15172920.0,68607.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5842782.0,23094.0,253.0,3777083.9999999995,23031.0,164.0,5553054.0,22482.0,247.0,0.09219630872700613,0.09218988792664273
2019-8-15,4630706.0,20938.666666666668,3,13892118.0,62816.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5349685.0,21145.0,253.0,3458432.0,21088.0,164.0,5084001.0,20583.0,247.0,-0.0373807277248418,-0.03739119774426869
2019-7-15,4810527.0,21752.0,3,14431581.0,65256.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5557398.0,21966.0,253.0,3593076.0,21909.0,164.0,5281107.0,21381.0,247.0,-0.0018888722593681795,-0.001896604466197549
2019-6-15,4819630.666666667,21793.333333333332,3,14458892.0,65380.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5568024.0,22008.0,253.0,3600128.0,21952.0,164.0,5290740.0,21420.0,247.0,-0.03420415028801416,-0.034211770267076336
2019-5-15,4990320.333333333,22565.333333333332,3,14970961.0,67696.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5765111.0,22787.0,253.0,3727883.9999999995,22731.0,164.0,5477966.0,22178.0,247.0,0.02067856109241739,0.0206709385601207
2019-4-15,4889218.333333333,22108.333333333332,3,14667655.0,66325.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5648478.0,22326.0,253.0,3652608.0,22272.0,164.0,5366569.0,21727.0,247.0,0.018889918747383216,0.018879808283150945
2019-3-15,4798573.666666667,21698.666666666668,3,14395721.0,65096.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5543736.0,21912.0,253.0,3585204.0,21861.0,164.0,5266781.0,21323.0,247.0,0.045660801283988306,0.045651685032287226
2019-2-15,4589034.666666667,20751.333333333332,3,13767104.0,62254.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5301615.0,20955.0,253.0,3428912.0,20908.0,164.0,5036577.0,20391.0,247.0,0.011052162685708078,0.011043622308116952
2019-1-15,4538870.333333333,20524.666666666668,3,13616611.0,61574.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5243678.0,20726.0,253.0,3391684.0,20681.0,164.0,4981249.0,20167.0,247.0,-0.0049376729141004105,-0.0049450549450549275
2018-12-15,4561393.0,20626.666666666668,3,13684179.0,61880.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5269737.0,20829.0,253.0,3408740.0,20785.0,164.0,5005702.0,20266.0,247.0,-0.001634980081477555,-0.001645639056500281
2018-11-15,4568863.0,20660.666666666668,3,13706589.0,61982.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5278339.0,20863.0,253.0,3414644.0,20821.0,164.0,5013606.0,20298.0,247.0,-0.07607388314124341,-0.07608144769400471
2018-10-15,4945052.333333333,22362.0,3,14835157.0,67086.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5712993.0,22581.0,253.0,3696068.0,22537.0,164.0,5426096.0,21968.0,247.0,-0.03770134029562733,-0.03771067919386062
2018-9-15,5138791.666666667,23238.333333333332,3,15416375.0,69715.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5936898.0,23466.0,253.0,3841207.9999999995,23422.0,164.0,5638269.0,22827.0,247.0,0.0914740786167898,0.09146274638736229
2018-8-15,4708120.666666667,21291.0,3,14124362.0,63873.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5439247.0,21499.0,253.0,3519604.0,21461.0,164.0,5165511.0,20913.0,247.0,-0.09965035533385802,-0.09965747149119719
2018-7-15,5229213.666666667,23647.666666666668,3,15687641.0,70943.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",6041387.0,23879.0,253.0,3909431.9999999995,23838.0,164.0,5736822.0,23226.0,247.0,0.08154302658348533,0.08153060446680382
2018-6-15,4834956.666666667,21865.0,3,14504870.0,65595.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5585987.0,22079.0,253.0,3615052.0,22043.0,164.0,5303831.0,21473.0,247.0,0.026227947044606736,0.026220685555155887
2018-5-15,4711386.666666667,21306.333333333332,3,14134160.0,63919.0,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",5443295.0,21515.0,253.0,3522884.0,21481.0,164.0,5167981.0,20923.0,247.0,,
2018-4-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2018-3-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2018-2-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2018-1-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-12-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-11-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-10-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-9-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-8-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-7-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-6-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-5-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-4-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-3-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-2-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2017-1-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-12-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-11-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-10-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-9-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-8-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-7-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-6-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-5-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-4-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-3-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-2-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
2016-1-15,,,3,,,664,"ONE EIGHTY,SHAU KEI WAN RD|ONE EIGHTY,筲箕灣道",,,253.0,,,164.0,,,247.0,,
