,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14202183.0,12412.333333333334,3,42606549.0,37237.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14090667.0,11391.0,1237.0,15269088.000000002,12004.0,1272.0,13246794.0,13842.0,957.0,-0.0003775692740961567,-0.0003758288368097551
2019-11-15,14207547.333333334,12417.0,3,42622642.0,37251.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14095615.0,11395.0,1237.0,15275448.0,12009.0,1272.0,13251579.0,13847.0,957.0,0.0200071745470618,0.020016429353778786
2019-10-15,13928870.0,12173.333333333334,3,41786610.0,36520.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13819764.0,11172.0,1237.0,14976528.000000002,11774.0,1272.0,12990318.0,13574.0,957.0,0.010709552930695754,0.010710430908034141
2019-9-15,13781278.666666666,12044.333333333334,3,41343836.0,36133.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13673798.0,11054.0,1237.0,14817528.0,11649.0,1272.0,12852510.0,13430.0,957.0,-0.054063795257812575,-0.05406042201162353
2019-8-15,14568930.333333334,12732.666666666666,3,43706791.0,38198.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14455582.0,11686.0,1237.0,15664680.0,12315.0,1272.0,13586529.0,14197.0,957.0,0.04106578377679382,0.0410727426344335
2019-7-15,13994245.666666666,12230.333333333334,3,41982737.0,36691.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13885325.0,11225.0,1237.0,15047760.0,11830.0,1272.0,13049652.0,13636.0,957.0,-0.044259053108687385,-0.04425631674915331
2019-6-15,14642300.0,12796.666666666666,3,43926900.0,38390.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14528565.0,11745.0,1237.0,15744816.0,12378.0,1272.0,13653519.0,14267.0,957.0,0.002368202098262273,0.0023760411498994216
2019-5-15,14607706.0,12766.333333333334,3,43823118.0,38299.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14495166.0,11718.0,1237.0,15707928.0,12349.0,1272.0,13620024.0,14232.0,957.0,-0.0037775105612075643,-0.0037717199042762717
2019-4-15,14663096.0,12814.666666666666,3,43989288.0,38444.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14550831.0,11763.0,1237.0,15767712.0,12396.0,1272.0,13670745.0,14285.0,957.0,0.060518341249177654,0.060524137931034394
2019-3-15,13826348.333333334,12083.333333333334,3,41479045.0,36250.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13720804.0,11092.0,1237.0,14868408.0,11689.0,1272.0,12889833.0,13469.0,957.0,0.03844146975797558,0.03844390970551159
2019-2-15,13314518.666666666,11636.0,3,39943556.0,34908.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13213634.0,10682.0,1237.0,14317632.0,11256.0,1272.0,12412290.0,12970.0,957.0,0.009010158721305395,0.009018383628165205
