,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,10079500.0,20159.0,1,10079500.0,20159.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10079500.0,20159.0,500.0,-0.06372207514746175,-0.06372207514746175
2019-11-15,10765500.0,21531.0,1,10765500.0,21531.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10765500.0,21531.0,500.0,0.026360949566212266,0.026360949566212266
2019-10-15,10489000.0,20978.0,1,10489000.0,20978.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10489000.0,20978.0,500.0,-0.01168378403844339,-0.01168378403844339
2019-9-15,10613000.0,21226.0,1,10613000.0,21226.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10613000.0,21226.0,500.0,-0.03946058466829583,-0.03946058466829583
2019-8-15,11049000.0,22098.0,1,11049000.0,22098.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",11049000.0,22098.0,500.0,0.00894895443338517,0.00894895443338517
2019-7-15,10951000.0,21902.0,1,10951000.0,21902.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10951000.0,21902.0,500.0,0.004909382885982971,0.004909382885982971
2019-6-15,10897500.0,21795.0,1,10897500.0,21795.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10897500.0,21795.0,500.0,-0.008371627462577913,-0.008371627462577913
2019-5-15,10989500.0,21979.0,1,10989500.0,21979.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10989500.0,21979.0,500.0,0.03963861690553894,0.03963861690553894
2019-4-15,10570500.0,21141.0,1,10570500.0,21141.0,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",10570500.0,21141.0,500.0,,
2019-3-15,,,1,,,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",,,500.0,,
2019-2-15,,,1,,,500,"YUEN KEE INT'L BLDG,QUEEN VICTORIA ST|源記國際大廈,域多利皇后街",,,500.0,,
