,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8498038.6,14584.4,5,42490193.0,72922.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8308228.0,15161.0,548.0,8416142.0,15386.0,547.0,11535162.999999998,14437.0,799.0,7298572.0,13466.0,542.0,6932088.0,14472.0,479.0,-0.04989952436831191,-0.04990097977902852
2019-11-15,8944357.8,15350.4,5,44721789.0,76752.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8743888.0,15956.0,548.0,8858118.0,16194.0,547.0,12140805.0,15195.0,799.0,7682850.0,14175.0,542.0,7296128.0,15232.0,479.0,0.0474672951843611,0.047465676774845145
2019-10-15,8539033.0,14654.8,5,42695165.0,73274.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8347684.0,15233.0,548.0,8456620.0,15460.0,547.0,11590294.000000002,14506.0,799.0,7335428.0,13534.0,542.0,6965139.0,14541.0,479.0,-0.017148216906113345,-0.017155580593671726
2019-9-15,8688017.0,14910.6,5,43440085.0,74553.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8492904.0,15498.0,548.0,8604310.0,15730.0,547.0,11791642.0,14758.0,799.0,7464424.0,13772.0,542.0,7086805.0,14795.0,479.0,-0.037702473073222276,-0.03770297131941036
2019-8-15,9028410.4,15494.8,5,45142052.0,77474.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8824992.0,16104.0,548.0,8941262.0,16346.0,547.0,12253464.0,15336.0,799.0,7758188.0,14314.0,542.0,7364146.000000001,15374.0,479.0,0.003955324106260205,0.003952364291360588
2019-7-15,8992840.8,15433.8,5,44964204.0,77169.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8789920.0,16040.0,548.0,8906254.0,16282.0,547.0,12204725.0,15275.0,799.0,7728378.0,14259.0,542.0,7334927.0,15313.0,479.0,0.0047027580131966396,0.004700031246745118
2019-6-15,8950747.6,15361.6,5,44753738.0,76808.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8748272.0,15964.0,548.0,8864682.0,16206.0,547.0,12147197.0,15203.0,799.0,7693148.0,14194.0,542.0,7300438.999999999,15241.0,479.0,-0.011522913204847107,-0.01153093791825377
2019-5-15,9055088.6,15540.8,5,45275443.0,77704.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8849652.0,16149.0,548.0,8968065.0,16395.0,547.0,12287821.0,15379.0,799.0,7784204.0,14362.0,542.0,7385701.0,15419.0,479.0,0.024724834933778306,0.02472668767885633
2019-4-15,8836605.0,15165.8,5,44183025.0,75829.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8635932.0,15759.0,548.0,8751453.0,15999.0,547.0,11991392.0,15008.0,799.0,7597214.0,14017.0,542.0,7207034.0,15046.0,479.0,0.035199819834143664,0.03519405878418036
2019-3-15,8536134.6,14650.2,5,42680673.0,73251.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8341656.0,15222.0,548.0,8453885.0,15455.0,547.0,11583103.0,14497.0,799.0,7339764.0,13542.0,542.0,6962265.0,14535.0,479.0,-0.0033695059975755726,-0.0033741955672865753
2019-2-15,8564994.4,14699.8,5,42824972.0,73499.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8369604.0,15273.0,548.0,8482876.0,15508.0,547.0,11621455.000000002,14545.0,799.0,7365780.0,13590.0,542.0,6985257.0,14583.0,479.0,0.018954905392503107,0.018951366938390724
