,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_DF,npsf_DF,nfa_DF,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",8570896.0,17456.0,491.0,7675162.0,21439.0,358.0,8615202.0,17618.0,489.0,8794188.0,17802.0,494.0,,,1254.0,7248210.0,20190.0,359.0,7857561.0,18231.0,431.0,6225667.0,18923.0,329.0,6118420.0,21098.0,290.0,,
2019-11-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10397416.0,21176.0,491.0,9302630.0,25985.0,358.0,10452375.0,21375.0,489.0,10664966.0,21589.0,494.0,,,1254.0,8794782.0,24498.0,359.0,9531134.0,22114.0,431.0,7554168.999999999,22961.0,329.0,7420810.0,25589.0,290.0,,
2019-10-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10004125.0,20375.0,491.0,8939976.0,24972.0,358.0,10058241.0,20569.0,489.0,10260380.0,20770.0,494.0,,,1254.0,8461630.0,23570.0,359.0,9167370.0,21270.0,431.0,7267939.0,22091.0,329.0,7136610.0,24609.0,290.0,,
2019-9-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10875159.0,22149.0,491.0,9686048.0,27056.0,358.0,10908123.0,22307.0,489.0,10917400.0,22100.0,494.0,,,1254.0,9004797.0,25083.0,359.0,9752237.0,22627.0,431.0,7493633.000000001,22777.0,329.0,7591039.999999999,26176.0,290.0,,
2019-8-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",9963372.0,20292.0,491.0,8864080.0,24760.0,358.0,9993693.0,20437.0,489.0,9999054.0,20241.0,494.0,,,1254.0,8247666.0,22974.0,359.0,8929889.0,20719.0,431.0,6861953.0,20857.0,329.0,6949850.0,23965.0,290.0,,
2019-7-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10356663.0,21093.0,491.0,9204180.0,25710.0,358.0,10387827.0,21243.0,489.0,10390796.0,21034.0,494.0,,,1254.0,8571484.0,23876.0,359.0,9277275.0,21525.0,431.0,7129759.0,21671.0,329.0,7219260.0,24894.0,290.0,,
2019-6-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10382195.0,21145.0,491.0,9217426.0,25747.0,358.0,10413744.0,21296.0,489.0,10414014.0,21081.0,494.0,,,1254.0,8590870.0,23930.0,359.0,9295377.0,21567.0,431.0,7144235.0,21715.0,329.0,7232600.0,24940.0,290.0,,
2019-5-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10756337.0,21907.0,491.0,9539268.0,26646.0,358.0,10788807.0,22063.0,489.0,10785996.0,21834.0,494.0,,,1254.0,8897815.0,24785.0,359.0,9625092.0,22332.0,431.0,7398223.000000001,22487.0,329.0,7488380.0,25822.0,290.0,,
2019-4-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10544716.0,21476.0,491.0,9342010.0,26095.0,358.0,10576581.0,21629.0,489.0,10571106.0,21399.0,494.0,,,1254.0,8716879.0,24281.0,359.0,9431142.0,21882.0,431.0,7249515.0,22035.0,329.0,7336130.0,25297.0,290.0,,
2019-3-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",10319838.0,21018.0,491.0,9264682.0,25879.0,358.0,13036740.0,26660.0,489.0,10378940.0,21010.0,494.0,,,1254.0,8554611.0,23829.0,359.0,9257018.0,21478.0,431.0,7115941.0,21629.0,329.0,7199830.0,24827.0,290.0,,
2019-2-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",9869100.0,20100.0,491.0,8861216.0,24752.0,358.0,12466566.0,25494.0,489.0,9928412.0,20098.0,494.0,,,1254.0,8180174.0,22786.0,359.0,8853171.0,20541.0,431.0,6805694.0,20686.0,329.0,6884890.0,23741.0,290.0,,
2019-1-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",11960269.0,24359.0,491.0,8765630.0,24485.0,358.0,12329646.0,25214.0,489.0,9823684.0,19886.0,494.0,,,1254.0,8090065.0,22535.0,359.0,8894978.0,20638.0,431.0,6732327.0,20463.0,329.0,6809200.0,23480.0,290.0,,
2018-12-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",9808707.0,19977.0,491.0,8810738.0,24611.0,358.0,12389793.0,25337.0,489.0,9876048.0,19992.0,494.0,,,1254.0,8129555.000000001,22645.0,359.0,8943250.0,20750.0,431.0,6766543.0,20567.0,329.0,6842550.0,23595.0,290.0,,
2018-11-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",11879745.0,24195.0,491.0,8826132.0,24654.0,358.0,12409353.0,25377.0,489.0,9895808.0,20032.0,494.0,,,1254.0,8203508.999999999,22851.0,359.0,8961783.0,20793.0,431.0,6778387.0,20603.0,329.0,6853280.0,23632.0,290.0,,
2018-10-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",13057654.0,26594.0,491.0,9554662.0,26689.0,358.0,13429896.0,27464.0,489.0,11025586.0,22319.0,494.0,,,1254.0,8875198.0,24722.0,359.0,10012561.0,23231.0,431.0,7337358.0,22302.0,329.0,7417040.0,25576.0,290.0,,
2018-9-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",14281226.0,29086.0,491.0,9930562.0,27739.0,358.0,14067552.0,28768.0,489.0,11463764.0,23206.0,494.0,,,1254.0,9219120.0,25680.0,359.0,10405633.0,24143.0,431.0,7625562.0,23178.0,329.0,7707040.0,26576.0,290.0,,
2018-8-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",12997752.0,26472.0,491.0,9099644.0,25418.0,358.0,12888084.0,26356.0,489.0,10509356.0,21274.0,494.0,,,1254.0,8442962.0,23518.0,359.0,9534582.0,22122.0,431.0,6987302.0,21238.0,329.0,7060630.0,24347.0,290.0,,
2018-7-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",14435399.999999998,29400.0,491.0,10133548.0,28306.0,358.0,14198115.0,29035.0,489.0,11678654.0,23641.0,494.0,,,1254.0,9373490.0,26110.0,359.0,10590532.0,24572.0,431.0,7761110.0,23590.0,329.0,7841600.000000001,27040.0,290.0,,
2018-6-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",13321321.0,27131.0,491.0,9374946.0,26187.0,358.0,13126716.0,26844.0,489.0,10804274.0,21871.0,494.0,,,1254.0,8663388.0,24132.0,359.0,9792751.0,22721.0,431.0,7176806.0,21814.0,329.0,7250000.0,25000.0,290.0,,
2018-5-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",13057163.0,26593.0,491.0,9140456.0,25532.0,358.0,12895908.0,26372.0,489.0,10534056.0,21324.0,494.0,,,1254.0,8438295.0,23505.0,359.0,9543202.0,22142.0,431.0,6993882.0,21258.0,329.0,7064110.0,24359.0,290.0,,
2018-4-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",13826560.0,28160.0,491.0,9419696.0,26312.0,358.0,13278795.0,27155.0,489.0,11360024.0,22996.0,494.0,,,1254.0,8699288.0,24232.0,359.0,9843178.0,22838.0,431.0,7213983.0,21927.0,329.0,7285090.0,25121.0,290.0,,
2018-3-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2018-2-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2018-1-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-12-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-11-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-10-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
