,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_H21-A,npsf_H21-A,nfa_H21-A,lumpSum_H21-B,npsf_H21-B,nfa_H21-B,lumpSum_change,npsf_change
2019-12-15,8328349.5,19666.5,2,16656699.0,39333.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10644336.0,18384.0,579.0,6012363.0,20949.0,287.0,-0.02046763885799885,-0.02044628181501218
2019-11-15,8502373.0,20077.0,2,17004746.0,40154.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10867251.0,18769.0,579.0,6137495.0,21385.0,287.0,0.003081076942334393,0.0030976767424431007
2019-10-15,8476257.0,20015.0,2,16952514.0,40030.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10834248.0,18712.0,579.0,6118266.0,21318.0,287.0,0.0076502898541335185,0.007677784770295792
2019-9-15,8411903.5,19862.5,2,16823807.0,39725.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10752609.0,18571.0,579.0,6071198.0,21154.0,287.0,0.006665224624927024,0.006690149768125542
2019-8-15,8356207.5,19730.5,2,16712415.0,39461.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10681971.0,18449.0,579.0,6030444.0,21012.0,287.0,-0.03688808009167088,-0.036878844088645946
2019-7-15,8676258.0,20486.0,2,17352516.0,40972.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",11091324.0,19156.0,579.0,6261192.0,21816.0,287.0,0.10185093642162446,0.1018421406481107
2019-6-15,7874257.5,18592.5,2,15748515.0,37185.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10065915.0,17385.0,579.0,5682600.0,19800.0,287.0,-0.052258746565919445,-0.0522492672358863
2019-5-15,8308446.5,19617.5,2,16616893.0,39235.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10621176.0,18344.0,579.0,5995717.0,20891.0,287.0,-0.03447639312409356,-0.03447681858450635
2019-4-15,8605120.0,20318.0,2,17210240.0,40636.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",11000421.0,18999.0,579.0,6209819.0,21637.0,287.0,0.008335850720097682,0.008337468982630325
2019-3-15,8533982.0,20150.0,2,17067964.0,40300.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10909518.0,18842.0,579.0,6158446.0,21458.0,287.0,0.05705095909245039,0.057049180327868765
2019-2-15,8073387.5,19062.5,2,16146775.0,38125.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10320675.0,17825.0,579.0,5826100.0,20300.0,287.0,-0.01641951123890517,-0.016408245401305477
2019-1-15,8208161.499999999,19380.5,2,16416322.999999998,38761.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10493216.999999998,18123.0,579.0,5923106.0,20638.0,287.0,0.05671464380321711,0.05670510618576374
2018-12-15,7767623.5,18340.5,2,15535247.0,36681.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",9929850.0,17150.0,579.0,5605396.999999999,19531.0,287.0,-0.058025952109309276,-0.05801232665639444
2018-11-15,8246112.000000001,19470.0,2,16492224.000000002,38940.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10541853.000000002,18207.0,579.0,5950371.0,20733.0,287.0,-0.018446900793540166,-0.01845130066545675
2018-10-15,8401086.0,19836.0,2,16802172.0,39672.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10739871.0,18549.0,579.0,6062301.0,21123.0,287.0,0.024422364492842963,0.024428032846149916
