,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_ABC,npsf_ABC,nfa_ABC,lumpSum_AC,npsf_AC,nfa_AC,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",51324394.0,27698.0,1853.0,,,4111.0,,,4171.0,,,3220.0,30169344.0,23136.0,1304.0,,,3359.0,33449123.0,24469.0,1367.0,,
2019-11-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",52208275.0,28175.0,1853.0,,,4111.0,,,4171.0,,,3220.0,29505608.0,22627.0,1304.0,,,3359.0,34008226.0,24878.0,1367.0,,
2019-10-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",50842614.0,27438.0,1853.0,,,4111.0,,,4171.0,,,3220.0,28731032.0,22033.0,1304.0,,,3359.0,33101905.0,24215.0,1367.0,,
2019-9-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",52336132.0,28244.0,1853.0,,,4111.0,,,4171.0,,,3220.0,29572112.0,22678.0,1304.0,,,3359.0,34060172.0,24916.0,1367.0,,
2019-8-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",53992714.0,29138.0,1853.0,,,4111.0,,,4171.0,,,3220.0,30507080.0,23395.0,1304.0,,,3359.0,35122331.0,25693.0,1367.0,,
2019-7-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",53294133.0,28761.0,1853.0,,,4111.0,,,4171.0,,,3220.0,30432752.0,23338.0,1304.0,,,3359.0,33971317.0,24851.0,1367.0,,
2019-6-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",53140334.0,28678.0,1853.0,,,4111.0,,,4171.0,,,3220.0,30341472.0,23268.0,1304.0,,,3359.0,33852388.0,24764.0,1367.0,,
2019-5-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",53629526.0,28942.0,1853.0,,,4111.0,,,4171.0,,,3220.0,29933320.0,22955.0,1304.0,,,3359.0,34142192.0,24976.0,1367.0,,
2019-4-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",52658554.0,28418.0,1853.0,,,4111.0,,,4171.0,101510500.0,31525.0,3220.0,29392160.0,22540.0,1304.0,,,3359.0,33502436.0,24508.0,1367.0,,
2019-3-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",51344777.0,27709.0,1853.0,,,4111.0,,,4171.0,94249400.0,29270.0,3220.0,28677568.0,21992.0,1304.0,97542001.0,29039.0,3359.0,32665832.0,23896.0,1367.0,,
2019-2-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",50136621.0,27057.0,1853.0,,,4111.0,,,4171.0,92095220.0,28601.0,3220.0,28017744.0,21486.0,1304.0,95314984.0,28376.0,3359.0,31894844.0,23332.0,1367.0,,
