,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10585756.375,15218.0,8,84686051.0,121744.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",16945824.0,16032.0,1057.0,11518641.0,15297.0,753.0,11742570.0,15390.0,763.0,11644590.0,14815.0,786.0,7359781.0,15301.0,481.0,7149868.0,15116.0,473.0,7131804.0,15046.0,474.0,11192973.000000002,14747.0,759.0,-0.049994814495518236,-0.04999570818799692
2019-11-15,11142840.625,16018.875,8,89142725.0,128151.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17836875.0,16875.0,1057.0,12126312.0,16104.0,753.0,12361363.0,16201.0,763.0,12256884.0,15594.0,786.0,7746505.0,16105.0,481.0,7526376.0,15912.0,473.0,7507212.0,15838.0,474.0,11781198.0,15522.0,759.0,0.047399881666465804,0.047396037661828094
2019-10-15,10638573.5,15294.0,8,85108588.0,122352.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17029327.0,16111.0,1057.0,11578881.0,15377.0,753.0,11802084.0,15468.0,763.0,11701182.0,14887.0,786.0,7395374.999999999,15375.0,481.0,7185816.0,15192.0,473.0,7168302.0,15123.0,474.0,11247621.0,14819.0,759.0,-0.017229348861436566,-0.01723722469437261
2019-9-15,10825082.625,15562.25,8,86600661.0,124498.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17326344.0,16392.0,1057.0,11783697.0,15649.0,753.0,12009620.000000002,15740.0,763.0,11905542.0,15147.0,786.0,7524764.0,15644.0,481.0,7312580.0,15460.0,473.0,7293912.0,15388.0,474.0,11444202.0,15078.0,759.0,-0.03841691632474464,-0.03835072568996545
2019-8-15,11257563.5,16182.875,8,90060508.0,129463.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18005995.0,17035.0,1057.0,12248298.0,16266.0,753.0,12481917.0,16359.0,763.0,12430590.0,15815.0,786.0,7819617.0,16257.0,481.0,7600164.0,16068.0,473.0,7581156.0,15994.0,474.0,11892771.0,15669.0,759.0,0.0038493940583663733,0.0038459450867276423
2019-7-15,11214394.875,16120.875,8,89715159.0,128967.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17936233.0,16969.0,1057.0,12203118.0,16206.0,753.0,12434611.0,16297.0,763.0,12381858.0,15753.0,786.0,7789314.0,16194.0,481.0,7571311.0,16007.0,473.0,7552242.0,15933.0,474.0,11846472.0,15608.0,759.0,0.004612306168201075,0.004611489776046751
2019-6-15,11162908.125,16046.875,8,89303265.0,128375.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17852730.0,16890.0,1057.0,12148902.0,16134.0,753.0,12378148.999999998,16223.0,763.0,12324480.0,15680.0,786.0,7752758.0,16118.0,481.0,7536782.0,15934.0,473.0,7517640.0,15860.0,474.0,11791824.0,15536.0,759.0,-0.01162173032100966,-0.011625668860915428
2019-5-15,11294165.875,16235.625,8,90353327.0,129885.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18062016.0,17088.0,1057.0,12293478.0,16326.0,753.0,12523882.0,16414.0,763.0,12469104.0,15864.0,786.0,7843186.0,16306.0,481.0,7625706.000000001,16122.0,473.0,7606752.0,16048.0,474.0,11929203.0,15717.0,759.0,0.025362738360112935,0.025105758302816028
2019-4-15,11014800.375,15838.0,8,88118403.0,126704.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17563112.0,16616.0,1057.0,11999808.0,15936.0,753.0,12223260.0,16020.0,763.0,12168851.999999998,15482.0,786.0,7654153.0,15913.0,481.0,7442655.0,15735.0,473.0,7424262.000000001,15663.0,474.0,11642301.0,15339.0,759.0,0.035102534802018415,0.03509574537611915
2019-3-15,10641265.0,15301.0,8,85130120.0,122408.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",16965907.0,16051.0,1057.0,11594694.0,15398.0,753.0,11809714.0,15478.0,763.0,11755415.999999998,14956.0,786.0,7394413.0,15373.0,481.0,7190546.0,15202.0,473.0,7172568.0,15132.0,474.0,11246862.0,14818.0,759.0,-0.003461377732779103,-0.003468095152807882
2019-2-15,10678226.375,15354.25,8,85425811.0,122834.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17024042.0,16106.0,1057.0,11636862.0,15454.0,753.0,11850916.0,15532.0,763.0,11795502.0,15007.0,786.0,7419425.0,15425.0,481.0,7216088.0,15256.0,473.0,7198164.0,15186.0,474.0,11284812.0,14868.0,759.0,0.018862280419819966,0.018861977438619837
2019-1-15,10480539.5,15070.0,8,83844316.0,120560.0,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",16707999.0,15807.0,1057.0,11423010.0,15170.0,753.0,11631935.0,15245.0,763.0,11576994.0,14729.0,786.0,7281378.0,15138.0,481.0,7082702.0,14974.0,473.0,7064970.0,14905.0,474.0,11075328.000000002,14592.0,759.0,,
2018-12-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-11-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-10-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-9-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-8-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-7-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-6-15,,,8,,,5546,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
