,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,6556303.7,14121.9,10,65563037.0,141219.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5517792.0,14076.0,392.0,5522244.0,14196.0,389.0,6598581.0,14631.0,451.0,6792511.0,15061.0,451.0,5952552.0,15108.0,394.0,7880904.0,14277.0,552.0,7439747.0,13601.0,547.0,7241052.0,13262.0,546.0,7086650.0,13075.0,542.0,5531004.000000001,13932.0,397.0,-0.0201347452583428,-0.020135858063710432
2019-11-15,6691025.8,14412.1,10,66910258.0,144121.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5631472.0,14366.0,392.0,5635832.0,14488.0,389.0,6733881.0,14931.0,451.0,6931870.0,15370.0,451.0,6074692.0,15418.0,394.0,8043192.000000001,14571.0,552.0,7592360.0,13880.0,547.0,7390110.0,13535.0,546.0,7231906.0,13343.0,542.0,5644943.0,14219.0,397.0,0.017175592014890828,0.0171787108203294
2019-10-15,6578044.0,14168.7,10,65780440.0,141687.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5536216.0,14123.0,392.0,5540527.0,14243.0,389.0,6619778.0,14678.0,451.0,6815061.0,15111.0,451.0,5972252.0,15158.0,394.0,7907400.0,14325.0,552.0,7464362.0,13646.0,547.0,7265622.0,13307.0,546.0,7109956.0,13118.0,542.0,5549266.0,13978.0,397.0,-0.02733979034625378,-0.027342623738587202
2019-9-15,6762941.4,14567.0,10,67629414.0,145670.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5692232.0,14521.0,392.0,5696516.0,14644.0,389.0,6805590.0,15090.0,451.0,7006736.0,15536.0,451.0,6140096.0,15584.0,394.0,8129856.0,14728.0,552.0,7673863.0,14029.0,547.0,7469826.000000001,13681.0,546.0,7309412.0,13486.0,542.0,5705286.999999999,14371.0,397.0,-0.013189652423940434,-0.013189537790362915
2019-8-15,6853334.5,14761.7,10,68533345.0,147617.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5768672.0,14716.0,392.0,5772759.999999999,14840.0,389.0,6896241.0,15291.0,451.0,7100093.0,15743.0,451.0,6222048.0,15792.0,394.0,8239152.0,14926.0,552.0,7776152.0,14216.0,547.0,7569744.0,13864.0,546.0,7406972.0,13666.0,542.0,5781511.0,14563.0,397.0,-0.0007108852121893161,-0.0007107946006688071
2019-7-15,6858209.9,14772.2,10,68582099.0,147722.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5772592.0,14726.0,392.0,5776650.0,14850.0,389.0,6901202.0,15302.0,451.0,7105505.0,15755.0,451.0,6226382.0,15803.0,394.0,8244672.0,14936.0,552.0,7781622.0,14226.0,547.0,7575204.0,13874.0,546.0,7412392.0,13676.0,542.0,5785878.0,14574.0,397.0,0.01713060694810653,0.01713097484060211
2019-6-15,6742703.3,14523.4,10,67427033.0,145234.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5675376.0,14478.0,392.0,5679400.0,14600.0,389.0,6785295.0,15045.0,451.0,6985539.0,15489.0,451.0,6121578.0,15537.0,394.0,8105568.0,14684.0,552.0,7650889.0,13987.0,547.0,7447440.0,13640.0,546.0,7287732.0,13446.0,542.0,5688216.0,14328.0,397.0,-0.01881510285643606,-0.018815152108850874
2019-5-15,6872000.7,14801.9,10,68720007.0,148019.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5783960.0,14755.0,392.0,5788320.0,14880.0,389.0,6915634.0,15334.0,451.0,7119486.0,15786.0,451.0,6238990.0,15835.0,394.0,8260680.0,14965.0,552.0,7798032.0,14256.0,547.0,7589946.0,13901.0,546.0,7427568.0,13704.0,542.0,5797391.0,14603.0,397.0,0.015587508002997241,0.015588657056405886
2019-4-15,6766527.4,14574.7,10,67665274.0,145747.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5694976.0,14528.0,392.0,5699239.0,14651.0,389.0,6809649.0,15099.0,451.0,7010344.0,15544.0,451.0,6143248.0,15592.0,394.0,8133720.0,14735.0,552.0,7678239.0,14037.0,547.0,7473648.0,13688.0,546.0,7313748.0,13494.0,542.0,5708463.0,14379.0,397.0,0.0252195565493758,0.02521770937381307
2019-3-15,6600076.4,14216.2,10,66000764.0,142162.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5554640.0,14170.0,392.0,5559199.000000001,14291.0,389.0,6642328.0,14728.0,451.0,6837611.0,15161.0,451.0,5992346.0,15209.0,394.0,7933344.0,14372.0,552.0,7489524.0,13692.0,547.0,7289646.000000001,13351.0,546.0,7133804.0,13162.0,542.0,5568322.0,14026.0,397.0,0.03556295406164134,0.03556235431235444
2019-2-15,6373418.8,13728.0,10,63734188.0,137280.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5363736.0,13683.0,392.0,5368200.0,13800.0,389.0,6414573.0,14223.0,451.0,6603091.0,14641.0,451.0,5786678.0,14687.0,394.0,7660656.0,13878.0,552.0,7232434.0,13222.0,547.0,7039032.0,12892.0,546.0,6888820.0,12710.0,542.0,5376967.999999999,13544.0,397.0,0.008514017510722782,0.008514483437529918
2019-1-15,6319613.5,13612.1,10,63196135.0,136121.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5318264.0,13567.0,392.0,5322687.0,13683.0,389.0,6360904.0,14104.0,451.0,6547167.0,14517.0,451.0,5737822.0,14563.0,394.0,7595520.0,13760.0,552.0,7171716.999999999,13111.0,547.0,6979518.0,12783.0,546.0,6830826.0,12603.0,542.0,5331710.0,13430.0,397.0,0.011713250186229818,0.011713553086327932
