,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7557497.5,22593.7,10,75574975.0,225937.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9958288.0,22328.0,446.0,7014591.0,21717.0,323.0,6964089.0,21831.0,319.0,5919440.0,24260.0,244.0,9378304.0,22544.0,416.0,7444752.0,22157.0,336.0,7407075.0,22791.0,325.0,7025988.0,22164.0,317.0,6966300.0,23221.0,300.0,7496148.0,22924.0,327.0,-0.014588630613885156,-0.01457612777445827
2019-11-15,7669383.3,22927.9,10,76693833.0,229279.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10107252.0,22662.0,446.0,7119889.0,22043.0,323.0,7068083.0,22157.0,319.0,6006304.0,24616.0,244.0,9517664.0,22879.0,416.0,7557312.0,22492.0,336.0,7517900.0,23132.0,325.0,7119820.0,22460.0,317.0,7071300.0,23571.0,300.0,7608309.0,23267.0,327.0,0.08308372036212708,0.08307824575326417
2019-10-15,7081062.3,21169.2,10,70810623.0,211692.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9330320.0,20920.0,446.0,6573050.0,20350.0,323.0,6524826.0,20454.0,319.0,5542948.0,22717.0,244.0,8785088.0,21118.0,416.0,6977376.0,20766.0,336.0,6940375.0,21355.0,325.0,6584407.0,20771.0,317.0,6528600.0,21762.0,300.0,7023633.0,21479.0,327.0,-0.08890910543897435,-0.08890505231354562
2019-9-15,7772070.1,23234.9,10,77720701.0,232349.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10240606.0,22961.0,446.0,7214851.0,22337.0,323.0,7161550.0,22450.0,319.0,6081944.0,24926.0,244.0,9641632.0,23177.0,416.0,7659120.0,22795.0,336.0,7618000.0,23440.0,325.0,7227600.0,22800.0,317.0,7166700.0,23889.0,300.0,7708698.0,23574.0,327.0,-0.0035597545158515542,-0.0035552239062003332
2019-8-15,7799835.6,23317.8,10,77998356.0,233178.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10277178.0,23043.0,446.0,7241014.0,22418.0,323.0,7187070.0,22530.0,319.0,6101708.0,25007.0,244.0,9674912.0,23257.0,416.0,7687679.999999999,22880.0,336.0,7645300.000000001,23524.0,325.0,7254228.0,22884.0,317.0,7193100.0,23977.0,300.0,7736166.0,23658.0,327.0,0.010125713571728978,0.010136979180204397
2019-7-15,7721648.4,23083.8,10,77216484.0,230838.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10175490.0,22815.0,446.0,7169954.0,22198.0,323.0,7116252.0,22308.0,319.0,6039488.0,24752.0,244.0,9577984.0,23024.0,416.0,7612752.0,22657.0,336.0,7570225.0,23293.0,325.0,7171491.0,22623.0,317.0,7123200.0,23744.0,300.0,7659648.0,23424.0,327.0,-0.036424187782597706,-0.03642048229484518
2019-6-15,8013534.9,23956.3,10,80135349.0,239563.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10559942.0,23677.0,446.0,7441597.0,23039.0,323.0,7385169.0,23151.0,319.0,6265676.0,25679.0,244.0,9938656.0,23891.0,416.0,7901712.0,23517.0,336.0,7856549.999999999,24174.0,325.0,7443477.000000001,23481.0,317.0,7393200.0,24644.0,300.0,7949370.000000001,24310.0,327.0,0.01125881329954459,0.011262373625445798
2019-5-15,7924316.5,23689.5,10,79243165.0,236895.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10442198.0,23413.0,446.0,7359232.0,22784.0,323.0,7302867.0,22893.0,319.0,6193940.0,25385.0,244.0,9826752.0,23622.0,416.0,7815024.0,23259.0,336.0,7769125.0,23905.0,325.0,7361374.0,23222.0,317.0,7311900.0,24373.0,300.0,7860753.0,24039.0,327.0,0.02138823208999141,0.02139410950576237
2019-4-15,7758378.5,23193.3,10,77583785.0,231933.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10223658.0,22923.0,446.0,7205484.0,22308.0,323.0,7149747.0,22413.0,319.0,6062180.0,24845.0,244.0,9620000.0,23125.0,416.0,7652400.0,22775.0,336.0,7606625.0,23405.0,325.0,7207946.0,22738.0,317.0,7159800.0,23866.0,300.0,7695945.000000001,23535.0,327.0,-0.012634329681094347,-0.012639313415807485
2019-3-15,7857654.7,23490.2,10,78576547.0,234902.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10352552.0,23212.0,446.0,7297216.0,22592.0,323.0,7240343.0,22697.0,319.0,6136600.0,25150.0,244.0,9740224.0,23414.0,416.0,7750176.0,23066.0,336.0,7703150.0,23702.0,325.0,7311922.0,23066.0,317.0,7251300.0,24171.0,300.0,7793064.0,23832.0,327.0,0.02047149543189075,0.020483346149000603
2019-2-15,7700023.7,23018.7,10,77000237.0,230187.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10146054.0,22749.0,446.0,7152189.0,22143.0,323.0,7096155.0,22245.0,319.0,6012404.0,24641.0,244.0,9545120.0,22945.0,416.0,7596960.0,22610.0,336.0,7550075.0,23231.0,325.0,7155641.0,22573.0,317.0,7107900.0,23693.0,300.0,7637739.0,23357.0,327.0,0.037209004164152404,0.03720542513405123
