,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_change,npsf_change
2019-12-15,5087331.5625,16535.125,16,81397305.0,264562.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5359900.0,16492.0,325.0,5089032.0,16311.0,312.0,5137952.0,16736.0,307.0,5036642.0,16406.0,307.0,5036642.0,16406.0,307.0,5035550.0,16510.0,305.0,7151493.0,15513.0,461.0,5043390.0,16269.0,310.0,4891738.0,15934.0,307.0,5392534.0,16747.0,322.0,5257980.0,16380.0,321.0,3951560.0,17720.0,223.0,3987017.0,17879.0,223.0,4120732.0,17314.0,238.0,5190479.0,16583.0,313.0,5714664.0,15362.0,372.0,-0.030839620959541958,-0.03084452454740605
2019-11-15,5249215.375,17061.375,16,83987446.0,272982.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5529875.0,17015.0,325.0,5251896.0,16833.0,312.0,5300662.0,17266.0,307.0,5196896.0,16928.0,307.0,5196589.0,16927.0,307.0,5195370.0,17034.0,305.0,7378766.0,16006.0,461.0,5203970.0,16787.0,310.0,5046773.0,16439.0,307.0,5564160.0,17280.0,322.0,5425863.0,16903.0,321.0,4077778.0,18286.0,223.0,4114349.9999999995,18450.0,223.0,4251870.0,17865.0,238.0,5356056.0,17112.0,313.0,5896572.0,15851.0,372.0,-0.011371934482959478,-0.011375365326321996
2019-10-15,5309595.75,17257.6875,16,84953532.0,276123.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5593250.0,17210.0,325.0,5313048.0,17029.0,312.0,5360834.0,17462.0,307.0,5256454.0,17122.0,307.0,5256147.0,17121.0,307.0,5254845.0,17229.0,305.0,7463590.0,16190.0,461.0,5263800.0,16980.0,310.0,5104182.0,16626.0,307.0,5627916.0,17478.0,322.0,5488779.0,17099.0,321.0,4125277.0,18499.0,223.0,4162072.0,18664.0,223.0,4300660.0,18070.0,238.0,5418030.0,17310.0,313.0,5964648.0,16034.0,372.0,-0.0018287217994704674,-0.0018327730181108004
2019-9-15,5319323.3125,17289.375,16,85109173.0,276630.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5603000.0,17240.0,325.0,5323656.0,17063.0,312.0,5370044.0,17492.0,307.0,5265971.0,17153.0,307.0,5265357.0,17151.0,307.0,5263995.0,17259.0,305.0,7476959.0,16219.0,461.0,5273720.0,17012.0,310.0,5112778.0,16654.0,307.0,5638220.0,17510.0,322.0,5499372.0,17132.0,321.0,4133081.9999999995,18534.0,223.0,4170100.0,18700.0,223.0,4308752.0,18104.0,238.0,5428359.0,17343.0,313.0,5975808.0,16064.0,372.0,-0.04903088422606694,-0.04903504369289158
2019-8-15,5593581.5625,18180.875,16,89497305.0,290894.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5891275.0,18127.0,325.0,5599152.0,17946.0,312.0,5646037.0,18391.0,307.0,5537359.0,18037.0,307.0,5536438.0,18034.0,307.0,5534835.0,18147.0,305.0,7862354.999999999,17055.0,461.0,5545590.0,17889.0,310.0,5375877.0,17511.0,307.0,5928664.0,18412.0,322.0,5783457.0,18017.0,321.0,4346716.0,19492.0,223.0,4385741.0,19667.0,223.0,4530806.0,19037.0,238.0,5708807.0,18239.0,313.0,6284196.0,16893.0,372.0,0.024846086098572417,0.02484119742251889
2019-7-15,5457972.3125,17740.1875,16,87327557.0,283843.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5747950.0,17686.0,325.0,5464368.0,17514.0,312.0,5508194.0,17942.0,307.0,5402893.0,17599.0,307.0,5401972.0,17596.0,307.0,5400025.0,17705.0,305.0,7671500.999999999,16641.0,461.0,5411360.0,17456.0,310.0,5244788.0,17084.0,307.0,5785052.0,17966.0,322.0,5643822.0,17582.0,321.0,4241906.0,19022.0,223.0,4279816.0,19192.0,223.0,4421088.0,18576.0,238.0,5570774.0,17798.0,313.0,6132048.0,16484.0,372.0,0.002193951495623292,0.0021890877506416384
2019-6-15,5446024.0,17701.4375,16,87136384.0,283223.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5734950.0,17646.0,325.0,5453448.0,17479.0,312.0,5495607.0,17901.0,307.0,5390920.0,17560.0,307.0,5389999.0,17557.0,307.0,5387825.0,17665.0,305.0,7654444.0,16604.0,461.0,5399580.0,17418.0,310.0,5232508.0,17044.0,307.0,5772172.0,17926.0,322.0,5631945.0,17545.0,321.0,4232986.0,18982.0,223.0,4270896.0,19152.0,223.0,4411568.0,18536.0,238.0,5558880.0,17760.0,313.0,6118656.0,16448.0,372.0,-0.009101790256876185,-0.009106939186777963
2019-5-15,5496047.875,17864.125,16,87936766.0,285826.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5786950.0,17806.0,325.0,5504616.0,17643.0,312.0,5545034.0,18062.0,307.0,5440347.0,17721.0,307.0,5439119.0,17717.0,307.0,5436625.0,17825.0,305.0,7724516.0,16756.0,461.0,5449180.0,17578.0,310.0,5279786.0,17198.0,307.0,5825302.0,18091.0,322.0,5684268.0,17708.0,321.0,4272457.0,19159.0,223.0,4310813.0,19331.0,223.0,4452028.0,18706.0,238.0,5610525.0,17925.0,313.0,6175200.0,16600.0,372.0,0.041593603484608055,0.041590595197749325
2019-4-15,5276576.0625,17150.8125,16,84425217.0,274413.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5555550.0,17094.0,325.0,5285904.0,16942.0,312.0,5322766.0,17338.0,307.0,5222684.0,17012.0,307.0,5221456.0,17008.0,307.0,5219160.0,17112.0,305.0,7416107.0,16087.0,461.0,5231870.0,16877.0,310.0,5068263.0,16509.0,307.0,5592496.0,17368.0,322.0,5457642.0,17002.0,321.0,4102308.0000000005,18396.0,223.0,4139102.9999999995,18561.0,223.0,4274242.0,17959.0,238.0,5386730.0,17210.0,313.0,5928936.0,15938.0,372.0,0.008665974606700821,0.00865994993696173
2019-3-15,5231242.25,17003.5625,16,83699876.0,272057.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5507125.0,16945.0,325.0,5241600.0,16800.0,312.0,5276409.0,17187.0,307.0,5177862.0,16866.0,307.0,5176327.0,16861.0,307.0,5173715.0,16963.0,305.0,7352028.0,15948.0,461.0,5186920.0,16732.0,310.0,5023748.0,16364.0,307.0,5544518.0,17219.0,322.0,5411418.0,16858.0,321.0,4067519.9999999995,18240.0,223.0,4104092.0000000005,18404.0,223.0,4237590.0,17805.0,238.0,5341032.0,17064.0,313.0,5877972.0,15801.0,372.0,0.042368805424649825,0.04236398467432956
2019-2-15,5018609.75,16312.5,16,80297756.0,261000.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5282875.0,16255.0,325.0,5029440.0,16120.0,312.0,5061202.0,16486.0,307.0,4967260.0,16180.0,307.0,4965725.0,16175.0,307.0,4962960.0,16272.0,305.0,7052839.0,15299.0,461.0,4976120.0,16052.0,310.0,4818979.0,15697.0,307.0,5318796.0,16518.0,322.0,5191854.0,16174.0,321.0,3902723.0000000005,17501.0,223.0,3937510.9999999995,17657.0,223.0,4065516.0,17082.0,238.0,5124436.0,16372.0,313.0,5639520.0,15160.0,372.0,-0.002531330708091417,-0.0025337934671696427
