,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,172853397.5,60704.5,2,345706795.0,121409.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",177823772.0,62482.0,2846.0,167883023.0,58927.0,2849.0,-0.06362127421700137,-0.06362121889894956
2019-11-15,184597741.0,64829.0,2,369195482.0,129658.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",189885120.0,66720.0,2846.0,179310362.0,62938.0,2849.0,0.026433019924726686,0.026433078159263435
2019-10-15,179843923.0,63159.5,2,359687846.0,126319.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",184975770.0,64995.0,2846.0,174712076.0,61324.0,2849.0,-0.01154206942295255,-0.011542012927054479
2019-9-15,181943932.5,63897.0,2,363887865.0,127794.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",187115962.0,65747.0,2846.0,176771903.0,62047.0,2849.0,-0.03937404475709538,-0.039373985206566875
2019-8-15,189401433.0,66516.0,2,378802866.0,133032.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",194763164.0,68434.0,2846.0,184039702.0,64598.0,2849.0,0.009071814631521624,0.009071877180739651
2019-7-15,187698665.5,65918.0,2,375397331.0,131836.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",192990106.0,67811.0,2846.0,182407225.0,64025.0,2849.0,0.005039013367229117,0.005039069944730246
2019-6-15,186757591.5,65587.5,2,373515183.0,131175.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",192002544.0,67464.0,2846.0,181512639.0,63711.0,2849.0,-0.008263589838232721,-0.008263525569298658
2019-5-15,188313739.0,66134.0,2,376627478.0,132268.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",193579228.0,68018.0,2846.0,183048250.0,64250.0,2849.0,0.0397364403552134,0.039736504916950244
2019-4-15,181116802.0,63606.5,2,362233604.0,127213.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",186159706.0,65411.0,2846.0,176073898.0,61802.0,2849.0,0.022900267823648734,0.022900333695171415
2019-3-15,177062034.0,62182.5,2,354124068.0,124365.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",181970394.0,63939.0,2846.0,172153674.0,60426.0,2849.0,0.0029111333462881195,0.002911196413018846
2019-2-15,176548079.0,62002.0,2,353096158.0,124004.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",181421116.0,63746.0,2846.0,171675042.0,60258.0,2849.0,0.023759905133449166,0.023760381751234183
