,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,7378957.909090909,14155.0,11,81168537.0,155705.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9145728.0,11208.0,816.0,10491208.0,14411.0,728.0,5764855.0,14095.0,409.0,8700720.0,15537.0,560.0,6255009.0,15219.0,411.0,8302560.0,14826.0,560.0,5990400.0,14400.0,416.0,6550752.0,14118.0,464.0,4797765.0,15231.0,315.0,7579649.0,13321.0,569.0,7589891.0,13339.0,569.0,-0.0003027473338319542,-0.000295343208069232
2019-11-15,7381192.545454546,14159.181818181818,11,81193118.0,155751.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9149808.0,11213.0,816.0,10494848.0,14416.0,728.0,5766491.0,14099.0,409.0,8701280.0,15538.0,560.0,6256653.0,15223.0,411.0,8304800.0,14830.0,560.0,5992480.0,14405.0,416.0,6553072.0,14123.0,464.0,4799025.0,15235.0,315.0,7582494.0,13326.0,569.0,7592167.0,13343.0,569.0,0.020376958443096616,0.02031444480838518
2019-10-15,7233789.909090909,13877.272727272728,11,79571689.0,152650.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8969472.0,10992.0,816.0,10269896.0,14107.0,728.0,5652789.0,13821.0,409.0,8527680.0,15228.0,560.0,6132942.0,14922.0,411.0,8141280.000000001,14538.0,560.0,5874752.0,14122.0,416.0,6423616.0,13844.0,464.0,4703895.0,14933.0,315.0,7432847.0,13063.0,569.0,7442520.0,13080.0,569.0,0.011711922130477559,0.01137590851569903
2019-9-15,7150049.090909091,13721.181818181818,11,78650540.0,150933.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8801376.0,10786.0,816.0,10160696.0,13957.0,728.0,5592666.0,13674.0,409.0,8434720.0,15062.0,560.0,6067593.0,14763.0,411.0,8054480.0,14383.0,560.0,5812351.999999999,13972.0,416.0,6355408.0,13697.0,464.0,4653495.0,14773.0,315.0,7354325.0,12925.0,569.0,7363429.0,12941.0,569.0,-0.053930988390183066,-0.0539251328853676
2019-8-15,7557640.090909091,14503.272727272728,11,83134041.0,159536.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9304032.0,11402.0,816.0,10740184.0,14753.0,728.0,5911686.0,14454.0,409.0,8914080.0,15918.0,560.0,6413244.0,15604.0,411.0,8513680.0,15203.0,560.0,6143904.0,14769.0,416.0,6717792.0,14478.0,464.0,4918410.0,15614.0,315.0,7773678.0,13662.0,569.0,7783351.0,13679.0,569.0,0.04116511395995781,0.04116741065601581
2019-7-15,7258829.545454546,13929.818181818182,11,79847125.0,153228.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8936832.0,10952.0,816.0,10315760.0,14170.0,728.0,5678147.000000001,13883.0,409.0,8559600.0,15285.0,560.0,6159657.0,14987.0,411.0,8177120.0,14602.0,560.0,5901376.0,14186.0,416.0,6452384.0,13906.0,464.0,4723740.0,14996.0,315.0,7466987.0,13123.0,569.0,7475522.0,13138.0,569.0,-0.04414376073528947,-0.04414113184948598
2019-6-15,7594059.909090909,14573.09090909091,11,83534659.0,160304.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9349728.0,11458.0,816.0,10792600.0,14825.0,728.0,5940725.0,14525.0,409.0,8952720.0,15987.0,560.0,6444069.0,15679.0,411.0,8554560.0,15276.0,560.0,6174272.0,14842.0,416.0,6750736.0,14549.0,464.0,4941405.0,15687.0,315.0,7812370.0,13730.0,569.0,7821474.0,13746.0,569.0,0.002480066724270369,0.0024826930653443213
2019-5-15,7575272.7272727275,14537.0,11,83328000.0,159907.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9327696.0,11431.0,816.0,10765664.0,14788.0,728.0,5926410.0,14490.0,409.0,8928640.0,15944.0,560.0,6428040.0,15640.0,411.0,8533280.0,15238.0,560.0,6159712.0,14807.0,416.0,6734032.0,14513.0,464.0,4928805.0,15647.0,315.0,7793593.0,13697.0,569.0,7802128.0,13712.0,569.0,-0.0012312729964736313,-0.0013926184974708544
2019-4-15,7584611.454545454,14557.272727272728,11,83430726.0,160130.0,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9362784.0,11474.0,816.0,10805704.0,14843.0,728.0,5948087.0,14543.0,409.0,8756160.0,15636.0,560.0,6451467.0,15697.0,411.0,8564640.0,15294.0,560.0,6182592.0,14862.0,416.0,6759088.0,14567.0,464.0,4946445.0,15703.0,315.0,7822612.0,13748.0,569.0,7831147.0,13763.0,569.0,,
2019-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2019-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2019-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-12-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-11-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-10-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-9-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-8-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-7-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-6-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-5-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-4-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-12-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-11-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-10-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-9-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-8-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-7-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-6-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-5-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-4-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-12-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-11-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-10-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-9-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-8-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-7-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-6-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-5-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-4-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
